lng,lat,VCD,AOD,AMF
80.0,20.0,2.544,0.227,0.34
80.0,20.25,2.544,0.227,0.34
80.0,20.5,5.181,0.332,0.52
80.0,20.75,5.976,0.332,0.54
80.0,21.0,5.118,0.297,0.582
80.0,21.25,4.001,0.197,0.805
80.0,21.5,4.495,0.173,0.873
80.0,21.75,1.888,0.29,0.505
80.0,22.0,1.041,0.474,0.51
80.0,22.25,1.077,0.424,0.652
80.0,22.5,1.068,0.145,1.322
80.0,22.75,1.368,0.135,1.377
80.0,23.0,4.715,0.326,1.488
80.0,23.25,2.001,0.515,1.177
80.0,23.5,2.924,0.191,1.267
80.0,23.75,2.531,0.128,1.2
80.0,24.0,3.714,0.115,1.207
80.0,24.25,1.974,0.064,1.255
80.0,24.5,3.404,0.063,1.161
80.0,24.75,3.063,0.296,1.109
80.0,25.0,1.842,0.112,1.416
80.0,25.25,4.664,0.125,0.592
80.0,25.5,0.059,0.171,0.485
80.0,25.75,2.659,0.489,1.16
80.0,26.0,3.585,0.248,0.278
80.0,26.25,2.278,0.409,1.184
80.0,26.5,3.128,0.307,0.791
80.0,26.75,3.108,0.297,1.082
80.0,27.0,3.174,0.84,1.258
80.0,27.25,2.622,0.741,1.526
80.0,27.5,1.899,0.709,1.265
80.0,27.75,1.899,0.709,1.265
80.0,28.0,1.712,0.871,0.873
80.0,28.25,1.62,0.896,1.264
80.0,28.5,2.001,0.869,0.721
80.0,28.75,0.984,1.21,1.162
80.0,29.0,2.013,0.813,1.07
80.0,29.25,1.91,0.563,1.356
80.0,29.5,1.961,0.356,1.1
80.0,29.75,2.011,0.24,1.135
80.0,30.0,1.321,0.279,1.31
80.0,30.25,0.572,0.134,1.949
80.0,30.5,0.172,0.076,2.169
80.0,30.75,0.454,0.071,1.946
80.0,31.0,1.022,0.089,1.607
80.0,31.25,0.658,0.184,1.83
80.0,31.5,0.86,0.038,1.742
80.0,31.75,0.65,0.103,1.597
80.0,32.0,0.536,0.181,1.884
80.0,32.25,1.839,0.076,1.8
80.0,32.5,0.864,0.131,1.794
80.0,32.75,0.911,0.316,1.426
80.0,33.0,0.483,0.224,1.385
80.0,33.25,0.431,0.081,1.607
80.0,33.5,0.127,0.13,1.775
80.0,33.75,0.722,0.143,1.262
80.0,34.0,0.727,0.117,2.268
80.0,34.25,0.494,0.072,2.799
80.0,34.5,0.573,0.125,2.15
80.0,34.75,0.432,0.188,1.803
80.0,35.0,0.811,0.254,1.744
80.0,35.25,1.498,0.214,2.773
80.0,35.5,0.696,0.092,2.056
80.0,35.75,0.147,0.159,2.01
80.0,36.0,1.231,0.159,1.873
80.0,36.25,0.229,0.126,1.994
80.0,36.5,0.319,0.046,1.784
80.0,36.75,0.679,0.065,1.698
80.0,37.0,1.008,0.409,1.598
80.0,37.25,0.69,0.425,1.433
80.0,37.5,1.548,0.085,1.615
80.0,37.75,1.292,0.085,1.602
80.0,38.0,1.735,0.164,1.666
80.0,38.25,0.619,0.341,1.225
80.0,38.5,0.433,0.418,1.307
80.0,38.75,1.785,0.125,1.629
80.0,39.0,1.592,0.382,1.611
80.0,39.25,1.072,0.11,1.613
80.0,39.5,1.19,0.093,1.665
80.0,39.75,0.821,0.176,1.811
80.0,40.0,0.984,0.368,1.714
80.0,40.25,1.245,0.125,2.246
80.0,40.5,0.999,0.205,2.135
80.0,40.75,0.605,0.239,1.435
80.0,41.0,2.85,0.137,1.512
80.0,41.25,2.195,0.056,1.496
80.0,41.5,0.6,0.444,0.919
80.0,41.75,1.38,0.539,1.538
80.0,42.0,0.932,0.066,2.202
80.0,42.25,0.932,0.066,2.202
80.0,42.5,0.216,0.044,2.846
80.0,42.75,2.195,0.158,1.161
80.0,43.0,1.101,0.107,2.079
80.0,43.25,0.263,0.092,2.058
80.0,43.5,0.918,0.858,1.114
80.0,43.75,1.094,0.106,0.975
80.0,44.0,2.843,0.215,1.397
80.0,44.25,3.23,0.288,1.309
80.0,44.5,1.908,0.081,1.963
80.0,44.75,1.908,0.081,1.963
80.0,45.0,0.397,0.243,1.373
80.0,45.25,0.863,0.165,2.012
80.0,45.5,1.571,0.114,1.4
80.0,45.75,2.098,0.275,1.341
80.0,46.0,1.214,0.092,1.746
80.0,46.25,1.256,0.103,1.198
80.0,46.5,0.727,0.237,1.499
80.0,46.75,0.69,0.067,0.726
80.0,47.0,2.509,0.203,1.737
80.0,47.25,1.238,0.11,1.289
80.0,47.5,2.103,0.063,1.589
80.0,47.75,1.206,0.091,1.222
80.0,48.0,1.585,0.069,1.073
80.0,48.25,1.263,0.253,1.237
80.0,48.5,4.859,0.146,0.914
80.0,48.75,1.961,0.223,1.33
80.0,49.0,0.325,0.123,1.364
80.0,49.25,3.234,0.129,1.257
80.0,49.5,1.524,0.08,1.758
80.0,49.75,0.92,0.102,0.917
80.0,50.0,4.247,0.046,0.715
80.0,50.25,3.272,0.091,1.121
80.0,50.5,0.642,0.124,0.956
80.0,50.75,0.972,0.062,1.259
80.0,51.0,1.286,0.083,1.215
80.0,51.25,0.097,0.084,0.981
80.0,51.5,0.674,0.079,1.26
80.0,51.75,2.325,0.067,1.208
80.0,52.0,0.847,0.102,1.143
80.0,52.25,0.475,0.066,1.321
80.0,52.5,2.911,0.041,1.301
80.0,52.75,2.617,0.07,0.947
80.0,53.0,1.456,0.065,1.33
80.0,53.25,1.456,0.065,1.33
80.0,53.5,1.214,0.104,1.351
80.0,53.75,1.214,0.104,1.351
80.0,54.0,1.214,0.104,1.351
80.25,20.0,2.544,0.227,0.34
80.25,20.25,5.783,0.189,0.481
80.25,20.5,4.706,0.242,0.561
80.25,20.75,5.654,0.332,0.523
80.25,21.0,3.78,0.159,0.703
80.25,21.25,3.353,0.294,0.646
80.25,21.5,3.418,0.629,0.594
80.25,21.75,2.279,0.647,0.633
80.25,22.0,2.052,0.178,1.337
80.25,22.25,1.535,0.18,1.389
80.25,22.5,4.318,0.31,1.571
80.25,22.75,0.409,0.189,0.6
80.25,23.0,0.344,0.16,0.642
80.25,23.25,1.749,0.23,1.345
80.25,23.5,3.901,0.176,0.97
80.25,23.75,2.971,0.131,1.152
80.25,24.0,1.777,0.339,0.877
80.25,24.25,1.0,0.242,0.784
80.25,24.5,2.588,0.093,1.519
80.25,24.75,2.428,0.109,1.491
80.25,25.0,2.367,0.097,1.109
80.25,25.25,3.888,0.518,0.778
80.25,25.5,2.54,0.625,1.276
80.25,25.75,5.062,0.36,0.792
80.25,26.0,3.275,0.297,0.616
80.25,26.25,3.991,0.118,1.306
80.25,26.5,3.23,0.141,1.212
80.25,26.75,2.738,0.514,1.468
80.25,27.0,2.692,0.729,1.395
80.25,27.25,1.175,0.694,1.356
80.25,27.5,3.293,0.55,0.664
80.25,27.75,2.283,0.869,1.049
80.25,28.0,1.854,1.057,1.32
80.25,28.25,13.949,0.595,0.137
80.25,28.5,1.757,0.753,1.119
80.25,28.75,1.632,0.736,1.166
80.25,29.0,3.145,1.055,1.084
80.25,29.25,3.097,0.654,1.063
80.25,29.5,1.363,0.449,1.444
80.25,29.75,2.768,0.593,1.692
80.25,30.0,1.085,0.287,1.648
80.25,30.25,0.813,0.134,1.942
80.25,30.5,0.507,0.054,1.754
80.25,30.75,0.992,0.052,1.772
80.25,31.0,0.367,0.034,1.958
80.25,31.25,0.513,0.102,1.691
80.25,31.5,0.277,0.088,1.708
80.25,31.75,0.474,0.041,2.036
80.25,32.0,0.438,0.049,1.973
80.25,32.25,0.416,0.121,1.675
80.25,32.5,0.627,0.019,1.765
80.25,32.75,0.535,0.059,1.969
80.25,33.0,1.143,0.113,1.721
80.25,33.25,0.247,0.217,1.699
80.25,33.5,0.991,0.119,2.206
80.25,33.75,0.894,0.122,1.813
80.25,34.0,0.722,0.143,1.928
80.25,34.25,0.854,0.136,1.984
80.25,34.5,0.423,0.176,2.733
80.25,34.75,0.506,0.146,2.676
80.25,35.0,0.49,0.288,1.644
80.25,35.25,1.498,0.214,2.773
80.25,35.5,0.424,0.128,2.021
80.25,35.75,0.593,0.145,2.193
80.25,36.0,0.22,0.114,1.808
80.25,36.25,1.167,0.317,1.439
80.25,36.5,1.395,0.163,2.0
80.25,36.75,1.249,0.064,1.882
80.25,37.0,1.697,0.377,1.599
80.25,37.25,1.629,0.093,2.106
80.25,37.5,2.0,0.174,1.644
80.25,37.75,1.408,0.666,1.661
80.25,38.0,1.039,0.198,1.778
80.25,38.25,1.802,0.948,1.666
80.25,38.5,1.03,0.247,1.85
80.25,38.75,0.992,0.114,1.613
