lng,lat,VCD,AOD,AMF
80.0,20.0,3.044,0.302,0.832
80.0,20.25,3.654,0.254,0.763
80.0,20.5,1.579,0.333,0.719
80.0,20.75,0.866,0.362,0.67
80.0,21.0,2.799,0.271,0.616
80.0,21.25,2.984,0.296,0.565
80.0,21.5,1.994,0.252,0.861
80.0,21.75,3.62,0.178,0.507
80.0,22.0,2.722,0.214,1.03
80.0,22.25,1.003,0.203,1.09
80.0,22.5,2.227,0.254,1.094
80.0,22.75,2.176,0.361,0.915
80.0,23.0,1.775,0.078,1.079
80.0,23.25,1.7,0.21,1.031
80.0,23.5,1.534,0.182,1.101
80.0,23.75,0.913,0.208,1.153
80.0,24.0,1.745,0.148,1.255
80.0,24.25,1.936,0.197,1.152
80.0,24.5,1.63,0.201,1.332
80.0,24.75,1.909,0.236,1.348
80.0,25.0,2.776,0.276,1.287
80.0,25.25,2.706,0.118,1.293
80.0,25.5,1.946,0.122,1.324
80.0,25.75,2.204,0.153,1.326
80.0,26.0,2.233,0.225,1.562
80.0,26.25,2.441,0.666,1.39
80.0,26.5,1.068,0.605,1.454
80.0,26.75,1.17,0.651,1.336
80.0,27.0,2.722,0.165,1.38
80.0,27.25,2.059,0.162,1.876
80.0,27.5,2.02,0.601,1.497
80.0,27.75,4.221,0.355,1.218
80.0,28.0,5.244,1.08,0.504
80.0,28.25,1.855,0.231,1.41
80.0,28.5,0.903,0.126,1.29
80.0,28.75,2.06,0.624,1.336
80.0,29.0,0.929,0.105,1.937
80.0,29.25,0.631,0.315,1.475
80.0,29.5,0.762,0.156,1.427
80.0,29.75,0.909,0.12,1.329
80.0,30.0,0.991,0.158,1.56
80.0,30.25,0.22,0.024,2.172
80.0,30.5,0.75,0.037,1.74
80.0,30.75,0.753,0.076,2.063
80.0,31.0,1.541,0.039,1.67
80.0,31.25,0.923,0.039,1.933
80.0,31.5,0.362,0.07,2.365
80.0,31.75,1.427,0.05,1.78
80.0,32.0,0.823,0.03,1.843
80.0,32.25,0.577,0.051,1.862
80.0,32.5,1.01,0.031,2.172
80.0,32.75,0.956,0.049,2.288
80.0,33.0,0.504,0.055,2.274
