lng,lat,VCD,AOD,AMF
80.0,20.0,1.797,0.435,1.162
80.0,20.25,1.921,0.669,1.174
80.0,20.5,4.322,0.664,1.176
80.0,20.75,2.209,0.236,1.079
80.0,21.0,3.192,0.191,1.096
80.0,21.25,1.415,0.411,1.498
80.0,21.5,2.888,0.431,1.485
80.0,21.75,2.1,0.116,1.285
80.0,22.0,0.093,0.522,1.375
80.0,22.25,1.903,0.178,1.408
80.0,22.5,2.643,0.076,1.224
80.0,22.75,1.59,0.066,1.193
80.0,23.0,2.289,0.685,1.68
80.0,23.25,4.108,0.358,1.263
80.0,23.5,2.761,0.322,1.332
80.0,23.75,1.704,0.322,1.334
80.0,24.0,1.111,0.374,1.521
80.0,24.25,1.25,0.373,1.525
80.0,24.5,2.339,0.216,1.922
80.0,24.75,1.747,0.147,1.365
80.0,25.0,2.754,0.665,1.331
80.0,25.25,2.981,0.778,1.266
80.0,25.5,1.521,0.437,1.26
80.0,25.75,2.807,0.203,1.29
80.0,26.0,2.057,0.212,1.312
80.0,26.25,3.402,0.212,1.313
80.0,26.5,3.513,0.265,1.309
80.0,26.75,2.564,0.924,1.184
80.0,27.0,4.421,1.088,1.224
80.0,27.25,3.41,0.756,1.166
80.0,27.5,2.693,0.456,1.204
80.0,27.75,7.609,0.79,1.119
80.0,28.0,4.27,0.917,1.141
80.0,28.25,3.907,0.675,1.256
80.0,28.5,3.228,0.541,1.203
80.0,28.75,1.323,0.625,1.176
80.0,29.0,1.804,0.453,1.442
80.0,29.25,0.309,0.208,1.516
80.0,29.5,1.768,0.139,1.444
80.0,29.75,2.349,0.1,1.537
80.0,30.0,1.68,0.043,1.223
80.0,30.25,1.01,0.143,1.521
80.0,30.5,1.054,0.209,1.93
80.0,30.75,1.03,0.115,2.237
80.0,31.0,1.224,0.044,2.413
80.0,31.25,1.719,0.058,1.821
80.0,31.5,0.617,0.033,1.943
80.0,31.75,0.571,0.063,2.004
80.0,32.0,0.357,0.029,2.169
80.0,32.25,0.307,0.072,2.014
80.0,32.5,0.567,0.169,1.905
80.0,32.75,0.771,0.21,2.495
80.0,33.0,0.057,0.155,1.937
80.0,33.25,1.033,0.045,1.923
80.0,33.5,0.294,0.128,1.871
80.0,33.75,0.261,0.222,2.258
80.0,34.0,1.32,0.355,2.067
80.0,34.25,0.815,0.204,0.403
80.0,34.5,0.091,0.223,1.992
80.0,34.75,0.267,0.634,1.818
80.0,35.0,0.263,0.094,1.493
80.0,35.25,0.389,0.106,1.898
80.0,35.5,0.041,0.106,1.334
80.0,35.75,0.001,0.076,2.43
80.0,36.0,0.736,0.061,2.255
80.0,36.25,0.764,0.044,1.856
80.0,36.5,0.279,0.028,1.99
80.0,36.75,1.248,0.03,1.584
80.0,37.0,3.794,0.076,1.386
80.0,37.25,2.525,0.068,1.583
80.0,37.5,0.948,0.075,1.788
80.0,37.75,0.693,0.076,1.845
80.0,38.0,0.003,0.081,0.758
80.0,38.25,0.406,0.063,2.335
80.0,38.5,0.787,0.067,1.864
80.0,38.75,0.769,0.136,1.811
80.0,39.0,0.079,0.064,1.929
80.0,39.25,1.414,0.064,1.924
80.0,39.5,0.473,0.066,1.957
80.0,39.75,0.822,0.086,1.833
80.0,40.0,2.283,0.133,1.399
80.0,40.25,1.358,0.081,1.733
80.0,40.5,1.818,0.099,1.602
80.0,40.75,2.129,0.072,1.803
80.0,41.0,2.389,0.104,1.546
