lng,lat,VCD,AOD,AMF
80.0,20.0,2.864,0.65,0.238
80.0,20.25,2.956,0.456,1.021
80.0,20.5,2.49,0.45,0.529
80.0,20.75,4.531,0.904,0.53
80.0,21.0,5.731,0.649,0.462
80.0,21.25,4.332,1.015,0.355
80.0,21.5,3.991,1.094,0.551
80.0,21.75,2.937,0.361,1.142
80.0,22.0,2.783,0.461,0.618
80.0,22.25,2.616,0.479,0.713
80.0,22.5,1.578,0.485,1.336
80.0,22.75,2.529,0.366,1.408
80.0,23.0,1.443,0.149,0.733
80.0,23.25,0.621,0.281,0.541
80.0,23.5,4.246,1.019,0.593
80.0,23.75,2.248,0.472,0.893
80.0,24.0,3.264,1.219,0.763
80.0,24.25,2.592,0.521,0.932
80.0,24.5,2.884,0.343,0.864
80.0,24.75,1.942,0.268,0.642
80.0,25.0,3.18,0.886,0.691
80.0,25.25,1.191,0.464,0.587
80.0,25.5,1.181,0.463,1.071
80.0,25.75,2.997,1.019,0.757
80.0,26.0,3.096,0.88,0.951
80.0,26.25,2.573,0.927,0.717
80.0,26.5,2.87,0.307,1.03
80.0,26.75,1.465,0.463,0.476
80.0,27.0,2.39,0.979,1.155
80.0,27.25,2.304,0.404,0.772
80.0,27.5,1.471,0.178,0.946
80.0,27.75,2.643,0.49,0.82
80.0,28.0,3.497,0.344,0.374
80.0,28.25,2.848,0.19,0.598
80.0,28.5,0.405,0.254,0.486
80.0,28.75,2.314,0.114,1.14
80.0,29.0,0.738,0.181,1.688
80.0,29.25,0.45,0.056,1.54
80.0,29.5,1.671,0.032,1.488
80.0,29.75,0.633,0.071,1.326
80.0,30.0,1.9,0.046,1.146
80.0,30.25,0.886,0.165,1.716
80.0,30.5,1.125,0.068,1.595
80.0,30.75,1.029,0.097,1.239
80.0,31.0,0.929,0.064,2.037
80.0,31.25,0.75,0.069,1.096
80.0,31.5,1.26,0.053,1.32
80.0,31.75,2.212,0.044,1.336
80.0,32.0,0.537,0.038,1.43
80.0,32.25,0.532,0.046,1.635
80.0,32.5,0.641,0.043,1.486
80.0,32.75,1.037,0.092,2.076
80.0,33.0,0.262,0.065,2.142
80.0,33.25,0.671,0.043,1.531
80.0,33.5,1.739,0.112,1.613
80.0,33.75,0.838,0.054,1.808
80.0,34.0,0.617,0.08,2.543
80.0,34.25,0.651,0.063,1.968
80.0,34.5,0.993,0.1,1.307
80.0,34.75,1.204,0.084,1.992
