lng,lat,VCD,AOD,AMF
80.0,20.0,3.214,0.211,1.138
80.0,20.25,3.541,0.216,1.125
80.0,20.5,3.016,0.199,1.084
80.0,20.75,1.966,0.213,1.187
80.0,21.0,2.541,0.203,1.014
80.0,21.25,3.684,0.201,0.886
80.0,21.5,5.428,0.394,1.179
80.0,21.75,4.827,0.087,1.222
80.0,22.0,1.212,0.214,1.423
80.0,22.25,0.736,0.392,1.317
80.0,22.5,0.661,0.358,1.342
80.0,22.75,3.324,0.227,1.003
80.0,23.0,2.534,0.087,1.204
80.0,23.25,2.421,0.219,1.234
80.0,23.5,1.87,0.291,1.266
80.0,23.75,1.588,0.709,1.13
80.0,24.0,2.094,0.805,0.976
80.0,24.25,2.11,0.112,1.288
80.0,24.5,1.121,0.305,1.347
80.0,24.75,1.546,0.324,1.202
80.0,25.0,1.622,0.398,1.183
80.0,25.25,4.743,1.485,0.731
80.0,25.5,2.315,0.244,1.299
80.0,25.75,1.086,0.615,1.176
80.0,26.0,2.408,0.241,0.762
80.0,26.25,2.399,0.638,1.373
80.0,26.5,2.519,1.196,1.159
80.0,26.75,4.049,0.299,1.338
80.0,27.0,1.821,0.613,0.966
80.0,27.25,2.984,0.37,1.266
80.0,27.5,2.163,0.729,1.114
80.0,27.75,3.607,0.271,1.297
80.0,28.0,3.461,0.281,1.308
80.0,28.25,1.924,0.437,1.161
80.0,28.5,1.126,0.742,1.108
80.0,28.75,2.478,0.567,1.254
80.0,29.0,0.871,0.577,1.622
80.0,29.25,0.076,0.637,1.399
80.0,29.5,0.911,0.337,1.472
80.0,29.75,0.797,0.386,1.652
80.0,30.0,1.131,0.112,2.454
80.0,30.25,1.131,0.112,2.454
80.0,30.5,0.535,0.01,3.48
80.0,30.75,0.436,0.01,3.334
80.0,31.0,0.488,0.01,2.351
80.0,31.25,0.306,0.211,2.347
80.0,31.5,0.893,0.147,2.317
80.0,31.75,1.197,0.014,2.194
80.0,32.0,0.293,0.023,2.414
80.0,32.25,0.302,0.038,2.431
80.0,32.5,0.099,0.085,2.035
80.0,32.75,0.041,0.13,2.772
80.0,33.0,0.347,0.387,2.363
80.0,33.25,0.942,0.091,1.143
80.0,33.5,1.054,0.227,1.19
80.0,33.75,0.68,0.058,1.528
80.0,34.0,2.383,0.531,0.754
80.0,34.25,0.45,0.057,3.35
80.0,34.5,1.911,0.162,0.95
80.0,34.75,0.73,0.125,2.069
80.0,35.0,0.119,0.634,3.076
80.0,35.25,0.119,0.634,3.076
80.0,35.5,0.463,0.057,1.88
80.0,35.75,0.463,0.057,1.88
80.0,36.0,0.53,0.034,2.057
80.0,36.25,0.092,0.117,2.805
80.0,36.5,0.881,0.092,1.791
80.0,36.75,0.482,0.03,1.863
80.0,37.0,2.629,0.13,1.7
80.0,37.25,1.468,0.176,1.621
80.0,37.5,0.184,0.147,1.922
80.0,37.75,0.905,0.55,2.29
80.0,38.0,0.913,0.201,1.719
80.0,38.25,0.632,0.409,1.781
80.0,38.5,0.716,0.207,1.887
80.0,38.75,1.014,0.52,2.176
80.0,39.0,0.576,0.157,2.085
80.0,39.25,0.699,0.158,2.115
80.0,39.5,1.705,0.082,1.526
