lng,lat,VCD,AOD,AMF
80.0,20.0,5.179,0.137,0.153
80.0,20.25,3.539,0.167,0.274
80.0,20.5,4.183,0.228,0.404
80.0,20.75,1.326,0.129,1.068
80.0,21.0,4.333,0.496,1.214
80.0,21.25,5.955,0.241,1.213
80.0,21.5,2.972,0.26,1.268
80.0,21.75,3.138,0.229,1.219
80.0,22.0,3.41,0.204,1.283
80.0,22.25,1.999,0.037,1.341
80.0,22.5,1.913,0.115,1.298
80.0,22.75,2.573,0.148,1.249
80.0,23.0,0.867,0.077,1.265
80.0,23.25,2.674,0.289,1.276
80.0,23.5,1.538,0.259,1.319
80.0,23.75,0.891,0.259,1.321
80.0,24.0,0.73,0.437,1.448
80.0,24.25,1.345,0.244,1.164
80.0,24.5,1.236,0.29,1.259
80.0,24.75,2.489,0.219,1.434
80.0,25.0,2.058,0.612,1.439
80.0,25.25,2.639,0.681,1.431
80.0,25.5,2.221,0.836,2.028
80.0,25.75,2.37,0.392,1.726
80.0,26.0,2.598,0.573,1.481
80.0,26.25,2.069,0.545,1.369
80.0,26.5,4.393,0.82,1.373
80.0,26.75,2.719,1.561,1.303
80.0,27.0,2.194,0.641,1.343
80.0,27.25,2.257,1.265,1.004
80.0,27.5,3.493,1.148,1.724
80.0,27.75,5.028,1.459,1.304
80.0,28.0,5.385,1.218,1.15
80.0,28.25,1.218,0.549,1.346
80.0,28.5,2.937,0.569,1.316
80.0,28.75,1.71,1.004,1.342
80.0,29.0,0.445,0.543,2.038
80.0,29.25,2.543,0.327,1.448
80.0,29.5,1.44,0.135,1.359
80.0,29.75,2.065,0.111,1.353
80.0,30.0,3.025,0.083,1.218
80.0,30.25,0.763,0.03,1.971
80.0,30.5,0.278,0.028,2.385
80.0,30.75,1.153,0.026,1.978
80.0,31.0,0.9,0.013,1.924
80.0,31.25,0.466,0.029,2.065
80.0,31.5,0.626,0.031,2.347
80.0,31.75,0.277,0.029,2.146
80.0,32.0,1.084,0.031,2.222
80.0,32.25,0.208,0.044,2.256
80.0,32.5,0.052,0.05,2.276
80.0,32.75,1.249,0.046,2.135
80.0,33.0,0.524,0.021,1.93
80.0,33.25,0.641,0.031,2.362
80.0,33.5,0.934,0.078,1.369
80.0,33.75,0.975,0.038,2.119
