lng,lat,vcd
80.0,20.0,2.544
80.0,20.25,2.544
80.0,20.5,5.181
80.0,20.75,5.976
80.0,21.0,5.118
80.0,21.25,4.001
80.0,21.5,4.495
80.0,21.75,1.888
80.0,22.0,1.041
80.0,22.25,1.077
80.0,22.5,1.068
80.0,22.75,1.368
80.0,23.0,4.715
80.0,23.25,2.001
80.0,23.5,2.924
80.0,23.75,2.531
80.0,24.0,3.714
80.0,24.25,1.974
80.0,24.5,3.404
80.0,24.75,3.063
80.0,25.0,1.842
80.0,25.25,4.664
80.0,25.5,0.059
80.0,25.75,2.659
80.0,26.0,3.585
80.0,26.25,2.278
80.0,26.5,3.128
80.0,26.75,3.108
80.0,27.0,3.174
80.0,27.25,2.622
80.0,27.5,1.899
80.0,27.75,1.899
80.0,28.0,1.712
80.0,28.25,1.62
80.0,28.5,2.001
80.0,28.75,0.984
80.0,29.0,2.013
80.0,29.25,1.91
80.0,29.5,1.961
80.0,29.75,2.011
80.0,30.0,1.321
80.0,30.25,0.572
80.0,30.5,0.172
80.0,30.75,0.454
80.0,31.0,1.022
80.0,31.25,0.658
80.0,31.5,0.86
80.0,31.75,0.65
80.0,32.0,0.536
80.0,32.25,1.839
80.0,32.5,0.864
80.0,32.75,0.911
80.0,33.0,0.483
80.0,33.25,0.431
80.0,33.5,0.127
80.0,33.75,0.722
80.0,34.0,0.727
80.0,34.25,0.494
80.0,34.5,0.573
80.0,34.75,0.432
80.0,35.0,0.811
80.0,35.25,1.498
80.0,35.5,0.696
80.0,35.75,0.147
80.0,36.0,1.231
80.0,36.25,0.229
80.0,36.5,0.319
80.0,36.75,0.679
80.0,37.0,1.008
80.0,37.25,0.69
80.0,37.5,1.548
80.0,37.75,1.292
80.0,38.0,1.735
80.0,38.25,0.619
80.0,38.5,0.433
80.0,38.75,1.785
80.0,39.0,1.592
80.0,39.25,1.072
80.0,39.5,1.19
80.0,39.75,0.821
80.0,40.0,0.984
80.0,40.25,1.245
80.0,40.5,0.999
80.0,40.75,0.605
80.0,41.0,2.85
80.0,41.25,2.195
80.0,41.5,0.6
80.0,41.75,1.38
80.0,42.0,0.932
80.0,42.25,0.932
80.0,42.5,0.216
80.0,42.75,2.195
80.0,43.0,1.101
80.0,43.25,0.263
80.0,43.5,0.918
80.0,43.75,1.094
80.0,44.0,2.843
80.0,44.25,3.23
80.0,44.5,1.908
80.0,44.75,1.908
80.0,45.0,0.397
80.0,45.25,0.863
80.0,45.5,1.571
80.0,45.75,2.098
80.0,46.0,1.214
80.0,46.25,1.256
80.0,46.5,0.727
80.0,46.75,0.69
80.0,47.0,2.509
80.0,47.25,1.238
80.0,47.5,2.103
80.0,47.75,1.206
80.0,48.0,1.585
80.0,48.25,1.263
80.0,48.5,4.859
80.0,48.75,1.961
80.0,49.0,0.325
80.0,49.25,3.234
80.0,49.5,1.524
80.0,49.75,0.92
80.0,50.0,4.247
80.0,50.25,3.272
80.0,50.5,0.642
80.0,50.75,0.972
80.0,51.0,1.286
80.0,51.25,0.097
80.0,51.5,0.674
80.0,51.75,2.325
80.0,52.0,0.847
80.0,52.25,0.475
80.0,52.5,2.911
80.0,52.75,2.617
80.0,53.0,1.456
80.0,53.25,1.456
80.0,53.5,1.214
80.0,53.75,1.214
80.0,54.0,1.214
80.25,20.0,2.544
80.25,20.25,5.783
80.25,20.5,4.706
80.25,20.75,5.654
80.25,21.0,3.78
80.25,21.25,3.353
80.25,21.5,3.418
80.25,21.75,2.279
80.25,22.0,2.052
80.25,22.25,1.535
80.25,22.5,4.318
80.25,22.75,0.409
80.25,23.0,0.344
80.25,23.25,1.749
80.25,23.5,3.901
80.25,23.75,2.971
80.25,24.0,1.777
80.25,24.25,1.0
80.25,24.5,2.588
80.25,24.75,2.428
80.25,25.0,2.367
80.25,25.25,3.888
80.25,25.5,2.54
80.25,25.75,5.062
80.25,26.0,3.275
80.25,26.25,3.991
80.25,26.5,3.23
80.25,26.75,2.738
80.25,27.0,2.692
80.25,27.25,1.175
80.25,27.5,3.293
80.25,27.75,2.283
80.25,28.0,1.854
80.25,28.25,13.949
80.25,28.5,1.757
80.25,28.75,1.632
80.25,29.0,3.145
80.25,29.25,3.097
80.25,29.5,1.363
80.25,29.75,2.768
80.25,30.0,1.085
80.25,30.25,0.813
80.25,30.5,0.507
80.25,30.75,0.992
80.25,31.0,0.367
80.25,31.25,0.513
80.25,31.5,0.277
80.25,31.75,0.474
80.25,32.0,0.438
80.25,32.25,0.416
80.25,32.5,0.627
