lng,lat,vcd
80.0,20.0,3.669
80.0,20.25,2.623
80.0,20.5,2.032
80.0,20.75,3.511
80.0,21.0,0.628
80.0,21.25,2.954
80.0,21.5,7.423
80.0,21.75,2.484
80.0,22.0,2.415
80.0,22.25,1.292
80.0,22.5,1.429
80.0,22.75,1.509
80.0,23.0,1.002
80.0,23.25,0.839
80.0,23.5,2.557
80.0,23.75,0.874
80.0,24.0,1.205
80.0,24.25,1.645
80.0,24.5,1.45
80.0,24.75,3.427
80.0,25.0,1.741
80.0,25.25,2.008
80.0,25.5,3.838
80.0,25.75,2.801
80.0,26.0,2.516
80.0,26.25,2.368
80.0,26.5,3.771
80.0,26.75,3.87
80.0,27.0,4.148
80.0,27.25,2.649
80.0,27.5,6.002
80.0,27.75,3.775
80.0,28.0,3.364
80.0,28.25,2.862
80.0,28.5,2.108
80.0,28.75,1.573
80.0,29.0,4.789
80.0,29.25,4.579
80.0,29.5,1.546
80.0,29.75,0.68
80.0,30.0,3.335
80.0,30.25,1.605
80.0,30.5,0.528
80.0,30.75,0.528
80.0,31.0,1.296
80.0,31.25,0.546
80.0,31.5,0.805
80.0,31.75,0.34
80.0,32.0,0.496
80.0,32.25,0.197
80.0,32.5,1.105
80.0,32.75,0.578
80.0,33.0,0.145
80.0,33.25,0.606
80.0,33.5,0.63
80.0,33.75,0.722
80.0,34.0,0.053
80.0,34.25,0.612
80.0,34.5,0.343
80.0,34.75,1.136
80.0,35.0,0.545
80.0,35.25,1.107
80.0,35.5,0.04
80.0,35.75,0.04
80.0,36.0,0.544
80.0,36.25,0.256
80.0,36.5,3.264
80.0,36.75,0.628
80.0,37.0,1.26
80.0,37.25,0.9
80.0,37.5,0.974
80.0,37.75,1.096
80.0,38.0,0.943
80.0,38.25,0.759
80.0,38.5,0.016
80.0,38.75,0.922
80.0,39.0,0.126
80.0,39.25,0.127
80.0,39.5,0.691
80.0,39.75,1.678
80.0,40.0,0.534
80.0,40.25,0.381
80.0,40.5,0.78
80.0,40.75,2.196
80.0,41.0,2.897
80.0,41.25,2.897
80.0,41.5,2.897
80.0,41.75,2.897
80.0,42.0,0.56
80.0,42.25,3.896
80.0,42.5,3.896
80.0,42.75,3.896
80.0,43.0,3.896
80.0,43.25,3.896
80.0,43.5,3.896
80.0,43.75,2.427
80.0,44.0,2.248
80.0,44.25,1.108
80.0,44.5,1.108
80.0,44.75,1.108
80.0,45.0,1.108
80.0,45.25,1.108
80.0,45.5,0.465
80.0,45.75,0.465
80.0,46.0,0.465
80.0,46.25,0.465
80.0,46.5,0.456
80.0,46.75,0.434
80.0,47.0,0.434
80.0,47.25,0.434
80.0,47.5,0.434
80.0,47.75,0.434
80.0,48.0,0.434
80.0,48.25,0.434
80.0,48.5,0.171
80.0,48.75,0.171
80.0,49.0,0.171
80.0,49.25,0.171
80.0,49.5,1.259
80.0,49.75,1.259
80.0,50.0,1.259
80.0,50.25,1.259
80.0,50.5,1.259
80.0,50.75,1.259
80.0,51.0,1.259
80.0,51.25,1.259
80.0,51.5,1.259
80.0,51.75,1.259
80.0,52.0,8.046
80.0,52.25,8.046
80.0,52.5,8.046
80.0,52.75,8.046
80.0,53.0,8.046
80.0,53.25,8.046
80.0,53.5,8.046
80.0,53.75,8.046
80.0,54.0,8.046
80.25,20.0,0.823
80.25,20.25,1.132
80.25,20.5,1.628
80.25,20.75,1.043
80.25,21.0,2.643
80.25,21.25,0.678
80.25,21.5,4.503
80.25,21.75,1.515
80.25,22.0,2.647
80.25,22.25,0.774
80.25,22.5,0.477
80.25,22.75,4.272
80.25,23.0,0.64
80.25,23.25,2.298
80.25,23.5,3.201
80.25,23.75,2.391
80.25,24.0,1.532
80.25,24.25,1.232
80.25,24.5,3.294
80.25,24.75,1.819
80.25,25.0,1.216
80.25,25.25,3.425
80.25,25.5,2.755
80.25,25.75,2.77
80.25,26.0,2.5
80.25,26.25,3.776
80.25,26.5,3.513
80.25,26.75,5.227
80.25,27.0,5.012
80.25,27.25,4.649
80.25,27.5,5.951
80.25,27.75,7.397
80.25,28.0,3.095
80.25,28.25,3.462
80.25,28.5,5.143
80.25,28.75,2.985
80.25,29.0,1.517
80.25,29.25,0.442
80.25,29.5,1.226
80.25,29.75,0.96
80.25,30.0,0.649
80.25,30.25,0.649
80.25,30.5,0.528
80.25,30.75,0.528
80.25,31.0,0.267
80.25,31.25,0.765
80.25,31.5,0.458
80.25,31.75,0.919
80.25,32.0,1.143
80.25,32.25,0.635
80.25,32.5,0.823
80.25,32.75,0.947
80.25,33.0,1.062
80.25,33.25,0.437
80.25,33.5,0.341
80.25,33.75,0.833
80.25,34.0,2.121
80.25,34.25,0.412
80.25,34.5,0.382
80.25,34.75,0.881
80.25,35.0,0.449
80.25,35.25,0.385
80.25,35.5,0.221
80.25,35.75,0.221
80.25,36.0,0.479
80.25,36.25,0.224
80.25,36.5,1.244
80.25,36.75,0.334
80.25,37.0,1.864
80.25,37.25,1.764
80.25,37.5,2.829
80.25,37.75,0.606
80.25,38.0,1.068
80.25,38.25,1.074
80.25,38.5,0.053
80.25,38.75,0.146
80.25,39.0,2.549
80.25,39.25,0.527
80.25,39.5,0.086
80.25,39.75,0.67
80.25,40.0,0.553
80.25,40.25,1.092
80.25,40.5,1.226
80.25,40.75,1.111
80.25,41.0,1.071
80.25,41.25,1.071
80.25,41.5,2.767
80.25,41.75,0.56
80.25,42.0,0.56
80.25,42.25,0.56
80.25,42.5,3.896
80.25,42.75,3.896
80.25,43.0,3.896
80.25,43.25,3.896
80.25,43.5,0.317
80.25,43.75,1.202
80.25,44.0,1.75
80.25,44.25,1.108
80.25,44.5,1.108
80.25,44.75,1.108
80.25,45.0,1.108
80.25,45.25,1.108
80.25,45.5,0.465
80.25,45.75,0.465
80.25,46.0,0.465
80.25,46.25,0.465
80.25,46.5,0.465
80.25,46.75,0.434
80.25,47.0,0.434
80.25,47.25,0.434
80.25,47.5,0.434
80.25,47.75,0.434
80.25,48.0,0.171
80.25,48.25,0.171
80.25,48.5,0.171
80.25,48.75,0.171
80.25,49.0,0.171
80.25,49.25,0.171
80.25,49.5,1.259
80.25,49.75,1.259
80.25,50.0,1.259
80.25,50.25,1.259
80.25,50.5,1.259
80.25,50.75,1.259
80.25,51.0,1.259
80.25,51.25,1.259
80.25,51.5,1.259
80.25,51.75,1.259
80.25,52.0,8.046
80.25,52.25,8.046
80.25,52.5,8.046
80.25,52.75,8.046
80.25,53.0,8.046
80.25,53.25,8.046
80.25,53.5,8.046
80.25,53.75,8.046
80.25,54.0,8.046
80.5,20.0,2.29
80.5,20.25,0.397
80.5,20.5,1.412
80.5,20.75,4.607
80.5,21.0,2.506
80.5,21.25,4.15
80.5,21.5,2.609
80.5,21.75,4.746
80.5,22.0,1.363
80.5,22.25,2.459
80.5,22.5,2.171
80.5,22.75,1.859
80.5,23.0,1.097
80.5,23.25,0.856
80.5,23.5,0.877
80.5,23.75,4.611
80.5,24.0,6.015
80.5,24.25,2.813
80.5,24.5,2.597
80.5,24.75,1.618
80.5,25.0,1.67
80.5,25.25,0.466
80.5,25.5,2.145
80.5,25.75,2.83
80.5,26.0,1.762
80.5,26.25,7.086
80.5,26.5,4.778
80.5,26.75,3.557
80.5,27.0,4.232
80.5,27.25,3.527
80.5,27.5,3.086
80.5,27.75,13.601
80.5,28.0,4.02
80.5,28.25,4.335
80.5,28.5,1.517
80.5,28.75,1.232
80.5,29.0,0.907
80.5,29.25,0.017
80.5,29.5,1.058
80.5,29.75,0.527
80.5,30.0,0.522
80.5,30.25,0.649
80.5,30.5,0.116
80.5,30.75,0.721
80.5,31.0,1.53
80.5,31.25,1.351
80.5,31.5,0.626
80.5,31.75,0.491
80.5,32.0,0.153
80.5,32.25,0.829
80.5,32.5,0.08
80.5,32.75,0.194
80.5,33.0,0.684
80.5,33.25,0.68
80.5,33.5,0.316
80.5,33.75,0.399
80.5,34.0,1.373
80.5,34.25,0.346
80.5,34.5,1.263
80.5,34.75,0.803
80.5,35.0,0.699
80.5,35.25,0.946
80.5,35.5,0.463
80.5,35.75,1.209
80.5,36.0,0.422
80.5,36.25,1.838
80.5,36.5,0.48
80.5,36.75,0.448
80.5,37.0,3.72
80.5,37.25,0.114
80.5,37.5,0.806
80.5,37.75,0.376
80.5,38.0,0.154
80.5,38.25,0.254
80.5,38.5,1.172
80.5,38.75,0.116
80.5,39.0,0.332
80.5,39.25,0.505
80.5,39.5,0.006
80.5,39.75,0.286
80.5,40.0,0.792
80.5,40.25,0.59
80.5,40.5,1.771
80.5,40.75,1.217
80.5,41.0,13.071
80.5,41.25,0.938
80.5,41.5,0.56
80.5,41.75,0.56
80.5,42.0,0.56
80.5,42.25,0.56
80.5,42.5,0.317
80.5,42.75,0.317
80.5,43.0,0.317
80.5,43.25,0.317
80.5,43.5,0.317
80.5,43.75,23.911
80.5,44.0,46.949
