lng,lat,vcd
80.0,20.0,2.118
80.0,20.25,1.555
80.0,20.5,2.428
80.0,20.75,0.353
80.0,21.0,1.188
80.0,21.25,2.3
80.0,21.5,2.716
80.0,21.75,1.961
80.0,22.0,2.376
80.0,22.25,3.321
80.0,22.5,2.028
80.0,22.75,1.09
80.0,23.0,1.691
80.0,23.25,2.555
80.0,23.5,1.144
80.0,23.75,1.144
80.0,24.0,2.346
80.0,24.25,1.866
80.0,24.5,1.114
80.0,24.75,3.266
80.0,25.0,2.815
80.0,25.25,2.069
80.0,25.5,1.064
80.0,25.75,1.34
80.0,26.0,1.694
80.0,26.25,2.773
80.0,26.5,2.819
80.0,26.75,2.649
80.0,27.0,3.499
80.0,27.25,0.796
80.0,27.5,0.796
80.0,27.75,1.956
80.0,28.0,2.713
80.0,28.25,1.899
80.0,28.5,2.272
80.0,28.75,0.974
80.0,29.0,1.474
80.0,29.25,3.086
80.0,29.5,3.362
80.0,29.75,2.29
80.0,30.0,3.204
80.0,30.25,0.379
80.0,30.5,0.36
80.0,30.75,0.824
80.0,31.0,0.213
80.0,31.25,0.618
80.0,31.5,0.956
80.0,31.75,0.892
80.0,32.0,2.157
80.0,32.25,1.883
80.0,32.5,1.557
80.0,32.75,0.802
80.0,33.0,1.369
80.0,33.25,0.115
80.0,33.5,1.527
80.0,33.75,0.056
80.0,34.0,1.49
80.0,34.25,0.861
80.0,34.5,3.169
80.0,34.75,2.284
80.0,35.0,0.178
80.0,35.25,0.118
80.0,35.5,0.975
80.0,35.75,0.019
80.0,36.0,0.939
80.0,36.25,1.032
80.0,36.5,1.213
80.0,36.75,1.101
80.0,37.0,1.557
80.0,37.25,4.453
80.0,37.5,0.883
80.0,37.75,0.97
80.0,38.0,1.736
80.0,38.25,0.344
80.0,38.5,2.648
80.0,38.75,1.546
80.0,39.0,1.519
80.0,39.25,0.345
80.0,39.5,0.959
80.0,39.75,1.472
80.0,40.0,1.966
80.0,40.25,1.077
80.0,40.5,0.575
80.0,40.75,2.483
80.0,41.0,2.967
80.0,41.25,2.15
80.0,41.5,1.119
80.0,41.75,1.119
80.0,42.0,1.583
80.0,42.25,1.583
80.0,42.5,0.581
80.0,42.75,1.135
80.0,43.0,0.071
80.0,43.25,0.928
80.0,43.5,2.478
80.0,43.75,1.829
80.0,44.0,1.413
80.0,44.25,1.736
80.0,44.5,0.78
80.0,44.75,0.78
80.0,45.0,0.669
80.0,45.25,0.498
80.0,45.5,0.674
80.0,45.75,1.394
80.0,46.0,1.539
80.0,46.25,2.588
80.0,46.5,1.138
80.0,46.75,1.962
80.0,47.0,1.878
80.0,47.25,1.13
80.0,47.5,0.861
80.0,47.75,1.43
80.0,48.0,0.285
80.0,48.25,0.287
80.0,48.5,1.914
80.0,48.75,0.233
80.0,49.0,1.437
80.0,49.25,0.097
80.0,49.5,0.514
80.0,49.75,1.156
80.0,50.0,1.797
80.0,50.25,1.888
80.0,50.5,1.38
80.0,50.75,3.903
80.0,51.0,2.36
80.0,51.25,0.701
80.0,51.5,2.028
80.0,51.75,2.442
80.0,52.0,1.309
80.0,52.25,2.41
80.0,52.5,1.6
80.0,52.75,3.839
80.0,53.0,7.874
80.0,53.25,7.874
80.0,53.5,0.617
80.0,53.75,0.617
80.0,54.0,0.617
80.25,20.0,2.112
80.25,20.25,2.741
80.25,20.5,2.913
80.25,20.75,2.286
80.25,21.0,1.188
80.25,21.25,2.548
80.25,21.5,3.917
80.25,21.75,1.661
80.25,22.0,1.864
80.25,22.25,1.891
80.25,22.5,1.204
80.25,22.75,0.33
80.25,23.0,1.679
80.25,23.25,2.204
80.25,23.5,3.309
80.25,23.75,2.251
80.25,24.0,2.575
80.25,24.25,1.448
80.25,24.5,1.441
80.25,24.75,1.848
80.25,25.0,2.707
80.25,25.25,2.576
80.25,25.5,1.294
80.25,25.75,1.073
80.25,26.0,4.865
80.25,26.25,2.66
80.25,26.5,2.775
80.25,26.75,3.509
80.25,27.0,4.459
80.25,27.25,1.932
80.25,27.5,1.007
80.25,27.75,3.718
80.25,28.0,3.759
80.25,28.25,2.444
80.25,28.5,3.771
80.25,28.75,3.363
80.25,29.0,3.769
80.25,29.25,2.936
