lng,lat,vcd
80.0,20.0,3.044
80.0,20.25,3.654
80.0,20.5,1.579
80.0,20.75,0.866
80.0,21.0,2.799
80.0,21.25,2.984
80.0,21.5,1.994
80.0,21.75,3.62
80.0,22.0,2.722
80.0,22.25,1.003
80.0,22.5,2.227
80.0,22.75,2.176
80.0,23.0,1.775
80.0,23.25,1.7
80.0,23.5,1.534
80.0,23.75,0.913
80.0,24.0,1.745
80.0,24.25,1.936
80.0,24.5,1.63
80.0,24.75,1.909
80.0,25.0,2.776
80.0,25.25,2.706
80.0,25.5,1.946
80.0,25.75,2.204
80.0,26.0,2.233
80.0,26.25,2.441
80.0,26.5,1.068
80.0,26.75,1.17
80.0,27.0,2.722
80.0,27.25,2.059
80.0,27.5,2.02
80.0,27.75,4.221
80.0,28.0,5.244
80.0,28.25,1.855
80.0,28.5,0.903
80.0,28.75,2.06
80.0,29.0,0.929
80.0,29.25,0.631
80.0,29.5,0.762
80.0,29.75,0.909
80.0,30.0,0.991
80.0,30.25,0.22
80.0,30.5,0.75
80.0,30.75,0.753
80.0,31.0,1.541
80.0,31.25,0.923
80.0,31.5,0.362
80.0,31.75,1.427
80.0,32.0,0.823
80.0,32.25,0.577
80.0,32.5,1.01
80.0,32.75,0.956
80.0,33.0,0.504
80.0,33.25,0.836
80.0,33.5,0.014
80.0,33.75,0.393
80.0,34.0,0.785
80.0,34.25,0.007
80.0,34.5,0.603
80.0,34.75,0.529
80.0,35.0,0.214
80.0,35.25,0.225
80.0,35.5,1.246
80.0,35.75,1.015
80.0,36.0,0.971
80.0,36.25,0.731
80.0,36.5,0.505
80.0,36.75,0.792
80.0,37.0,1.494
80.0,37.25,1.586
80.0,37.5,0.632
80.0,37.75,1.395
80.0,38.0,1.254
80.0,38.25,1.108
80.0,38.5,0.982
80.0,38.75,1.544
80.0,39.0,1.185
80.0,39.25,1.609
80.0,39.5,0.932
80.0,39.75,1.584
80.0,40.0,1.561
80.0,40.25,0.388
80.0,40.5,1.445
80.0,40.75,1.436
80.0,41.0,1.973
80.0,41.25,1.551
80.0,41.5,1.719
80.0,41.75,0.936
80.0,42.0,0.708
80.0,42.25,0.31
80.0,42.5,0.608
80.0,42.75,0.89
80.0,43.0,0.43
80.0,43.25,1.118
80.0,43.5,1.212
80.0,43.75,2.151
80.0,44.0,2.953
80.0,44.25,1.285
80.0,44.5,1.27
80.0,44.75,2.59
80.0,45.0,0.396
80.0,45.25,1.383
80.0,45.5,2.347
80.0,45.75,1.437
80.0,46.0,1.824
80.0,46.25,0.608
80.0,46.5,1.776
80.0,46.75,0.764
80.0,47.0,1.672
80.0,47.25,0.719
80.0,47.5,2.461
80.0,47.75,0.422
80.0,48.0,0.108
80.0,48.25,0.357
80.0,48.5,2.611
80.0,48.75,0.256
80.0,49.0,0.391
80.0,49.25,0.242
80.0,49.5,1.097
80.0,49.75,1.89
80.0,50.0,2.618
80.0,50.25,1.99
80.0,50.5,1.038
80.0,50.75,1.031
80.0,51.0,0.328
80.0,51.25,0.775
80.0,51.5,0.285
80.0,51.75,2.57
80.0,52.0,1.034
80.0,52.25,1.298
80.0,52.5,1.797
80.0,52.75,1.332
80.0,53.0,2.807
80.0,53.25,2.807
80.0,53.5,0.756
80.0,53.75,0.756
80.0,54.0,0.756
80.25,20.0,2.134
80.25,20.25,2.62
80.25,20.5,1.726
80.25,20.75,3.697
80.25,21.0,4.284
80.25,21.25,0.951
80.25,21.5,2.834
80.25,21.75,1.525
80.25,22.0,2.744
80.25,22.25,0.809
80.25,22.5,1.175
80.25,22.75,1.362
80.25,23.0,1.309
80.25,23.25,3.465
80.25,23.5,2.564
80.25,23.75,1.578
80.25,24.0,1.271
80.25,24.25,2.325
80.25,24.5,2.409
80.25,24.75,1.847
80.25,25.0,2.248
80.25,25.25,1.795
80.25,25.5,1.877
80.25,25.75,1.583
80.25,26.0,2.123
80.25,26.25,2.911
80.25,26.5,3.467
80.25,26.75,2.119
80.25,27.0,1.814
80.25,27.25,2.646
80.25,27.5,1.641
80.25,27.75,2.23
80.25,28.0,1.852
80.25,28.25,1.725
80.25,28.5,2.787
80.25,28.75,3.648
80.25,29.0,2.149
80.25,29.25,0.825
80.25,29.5,0.536
80.25,29.75,0.526
80.25,30.0,1.118
80.25,30.25,0.613
80.25,30.5,0.683
80.25,30.75,0.154
80.25,31.0,2.102
80.25,31.25,0.986
80.25,31.5,0.023
80.25,31.75,0.905
80.25,32.0,0.401
80.25,32.25,0.773
80.25,32.5,0.465
80.25,32.75,0.647
80.25,33.0,0.328
80.25,33.25,0.356
80.25,33.5,0.148
80.25,33.75,1.116
80.25,34.0,0.036
80.25,34.25,1.111
80.25,34.5,0.303
80.25,34.75,0.561
80.25,35.0,0.629
80.25,35.25,1.378
80.25,35.5,0.84
80.25,35.75,0.119
80.25,36.0,0.93
80.25,36.25,0.453
80.25,36.5,0.59
80.25,36.75,0.933
80.25,37.0,0.17
80.25,37.25,0.915
80.25,37.5,1.373
80.25,37.75,0.832
80.25,38.0,1.441
80.25,38.25,1.383
80.25,38.5,0.843
80.25,38.75,0.826
80.25,39.0,0.529
80.25,39.25,0.147
80.25,39.5,0.724
80.25,39.75,1.802
80.25,40.0,0.553
80.25,40.25,1.374
80.25,40.5,0.357
80.25,40.75,1.864
80.25,41.0,1.099
80.25,41.25,1.835
80.25,41.5,1.578
80.25,41.75,1.205
80.25,42.0,0.872
80.25,42.25,0.625
80.25,42.5,0.548
80.25,42.75,1.48
80.25,43.0,1.945
80.25,43.25,0.415
80.25,43.5,2.888
80.25,43.75,2.996
80.25,44.0,2.765
80.25,44.25,0.722
80.25,44.5,1.276
80.25,44.75,1.91
80.25,45.0,1.784
80.25,45.25,2.216
80.25,45.5,1.31
80.25,45.75,0.705
80.25,46.0,2.866
80.25,46.25,2.171
80.25,46.5,0.717
80.25,46.75,1.287
80.25,47.0,2.28
80.25,47.25,2.34
80.25,47.5,0.46
80.25,47.75,2.031
80.25,48.0,0.979
80.25,48.25,0.938
80.25,48.5,0.415
80.25,48.75,2.237
80.25,49.0,1.287
80.25,49.25,0.777
80.25,49.5,1.52
80.25,49.75,0.834
80.25,50.0,1.06
80.25,50.25,2.041
80.25,50.5,0.408
80.25,50.75,1.405
80.25,51.0,1.37
80.25,51.25,1.557
80.25,51.5,1.519
80.25,51.75,0.174
80.25,52.0,2.124
80.25,52.25,2.222
80.25,52.5,1.244
80.25,52.75,0.752
80.25,53.0,0.931
80.25,53.25,0.756
80.25,53.5,0.756
80.25,53.75,0.756
80.25,54.0,0.756
80.5,20.0,2.792
80.5,20.25,1.86
