lng,lat,vcd
80.0,20.0,2.864
80.0,20.25,2.956
80.0,20.5,2.49
80.0,20.75,4.531
80.0,21.0,5.731
80.0,21.25,4.332
80.0,21.5,3.991
80.0,21.75,2.937
80.0,22.0,2.783
80.0,22.25,2.616
80.0,22.5,1.578
80.0,22.75,2.529
80.0,23.0,1.443
80.0,23.25,0.621
80.0,23.5,4.246
80.0,23.75,2.248
80.0,24.0,3.264
80.0,24.25,2.592
80.0,24.5,2.884
80.0,24.75,1.942
80.0,25.0,3.18
80.0,25.25,1.191
80.0,25.5,1.181
80.0,25.75,2.997
80.0,26.0,3.096
80.0,26.25,2.573
80.0,26.5,2.87
80.0,26.75,1.465
80.0,27.0,2.39
80.0,27.25,2.304
80.0,27.5,1.471
80.0,27.75,2.643
80.0,28.0,3.497
80.0,28.25,2.848
80.0,28.5,0.405
80.0,28.75,2.314
80.0,29.0,0.738
80.0,29.25,0.45
80.0,29.5,1.671
80.0,29.75,0.633
80.0,30.0,1.9
80.0,30.25,0.886
80.0,30.5,1.125
80.0,30.75,1.029
80.0,31.0,0.929
80.0,31.25,0.75
80.0,31.5,1.26
80.0,31.75,2.212
80.0,32.0,0.537
80.0,32.25,0.532
80.0,32.5,0.641
80.0,32.75,1.037
80.0,33.0,0.262
80.0,33.25,0.671
80.0,33.5,1.739
80.0,33.75,0.838
80.0,34.0,0.617
80.0,34.25,0.651
80.0,34.5,0.993
80.0,34.75,1.204
80.0,35.0,0.467
80.0,35.25,0.531
80.0,35.5,0.501
80.0,35.75,0.786
80.0,36.0,1.243
80.0,36.25,1.084
80.0,36.5,0.786
80.0,36.75,0.299
80.0,37.0,1.48
80.0,37.25,2.604
80.0,37.5,0.717
80.0,37.75,0.76
80.0,38.0,1.124
80.0,38.25,1.006
80.0,38.5,0.047
80.0,38.75,0.457
80.0,39.0,1.055
80.0,39.25,1.181
80.0,39.5,0.816
80.0,39.75,1.168
80.0,40.0,2.302
80.0,40.25,0.245
80.0,40.5,2.154
80.0,40.75,0.984
80.0,41.0,0.899
80.0,41.25,1.25
80.0,41.5,1.674
80.0,41.75,0.961
80.0,42.0,0.445
