lng,lat,vcd
80.0,20.0,2.476
80.0,20.25,0.945
80.0,20.5,0.139
80.0,20.75,1.847
80.0,21.0,2.081
80.0,21.25,2.772
80.0,21.5,1.583
80.0,21.75,2.11
80.0,22.0,0.177
80.0,22.25,1.428
80.0,22.5,0.965
80.0,22.75,1.288
80.0,23.0,2.669
80.0,23.25,0.854
80.0,23.5,2.361
80.0,23.75,1.572
80.0,24.0,1.773
80.0,24.25,2.068
80.0,24.5,2.051
80.0,24.75,1.62
80.0,25.0,1.846
80.0,25.25,1.175
80.0,25.5,1.476
80.0,25.75,2.136
80.0,26.0,4.06
80.0,26.25,2.908
80.0,26.5,3.403
80.0,26.75,1.417
80.0,27.0,1.72
80.0,27.25,3.151
80.0,27.5,3.057
80.0,27.75,5.857
80.0,28.0,2.622
80.0,28.25,4.101
80.0,28.5,2.035
80.0,28.75,2.355
80.0,29.0,1.514
80.0,29.25,1.012
80.0,29.5,1.202
80.0,29.75,0.612
80.0,30.0,0.966
80.0,30.25,0.966
80.0,30.5,0.298
80.0,30.75,1.253
80.0,31.0,0.873
80.0,31.25,0.665
80.0,31.5,0.637
80.0,31.75,1.066
80.0,32.0,0.923
80.0,32.25,0.923
80.0,32.5,0.709
80.0,32.75,0.77
80.0,33.0,0.067
80.0,33.25,0.649
80.0,33.5,0.616
80.0,33.75,1.241
80.0,34.0,0.354
80.0,34.25,0.682
80.0,34.5,0.123
80.0,34.75,0.401
80.0,35.0,0.962
80.0,35.25,0.445
80.0,35.5,1.113
80.0,35.75,0.087
80.0,36.0,1.038
80.0,36.25,0.507
80.0,36.5,0.858
80.0,36.75,1.692
80.0,37.0,2.858
80.0,37.25,1.567
80.0,37.5,1.284
80.0,37.75,1.389
80.0,38.0,0.88
80.0,38.25,1.141
80.0,38.5,1.306
80.0,38.75,0.633
80.0,39.0,0.337
80.0,39.25,2.007
80.0,39.5,1.596
80.0,39.75,1.289
80.0,40.0,1.154
80.0,40.25,1.639
80.0,40.5,1.354
80.0,40.75,2.549
80.0,41.0,6.041
80.0,41.25,1.975
80.0,41.5,1.256
80.0,41.75,1.32
80.0,42.0,0.311
80.0,42.25,0.311
80.0,42.5,0.37
80.0,42.75,2.322
80.0,43.0,1.602
80.0,43.25,0.825
80.0,43.5,1.848
80.0,43.75,5.188
80.0,44.0,1.664
80.0,44.25,2.618
80.0,44.5,0.297
80.0,44.75,0.466
80.0,45.0,0.393
80.0,45.25,0.357
80.0,45.5,0.778
80.0,45.75,0.937
80.0,46.0,2.708
80.0,46.25,0.172
80.0,46.5,0.88
80.0,46.75,0.831
80.0,47.0,0.554
80.0,47.25,3.213
80.0,47.5,5.807
80.0,47.75,1.843
80.0,48.0,0.962
80.0,48.25,0.963
80.0,48.5,4.305
80.0,48.75,1.117
80.0,49.0,0.215
80.0,49.25,1.736
80.0,49.5,0.831
80.0,49.75,3.096
80.0,50.0,2.281
80.0,50.25,1.657
80.0,50.5,5.719
80.0,50.75,0.92
80.0,51.0,5.403
80.0,51.25,3.81
80.0,51.5,4.549
