lng,lat,vcd
80.0,20.0,0.879
80.0,20.25,2.251
80.0,20.5,2.476
80.0,20.75,3.604
80.0,21.0,4.531
80.0,21.25,4.559
80.0,21.5,2.522
80.0,21.75,1.966
80.0,22.0,0.151
80.0,22.25,0.322
80.0,22.5,1.983
80.0,22.75,1.295
80.0,23.0,1.459
80.0,23.25,2.818
80.0,23.5,0.335
80.0,23.75,1.602
80.0,24.0,1.837
80.0,24.25,3.121
80.0,24.5,2.12
80.0,24.75,1.041
80.0,25.0,2.32
80.0,25.25,2.624
80.0,25.5,0.58
80.0,25.75,1.807
80.0,26.0,2.288
80.0,26.25,1.533
80.0,26.5,0.683
80.0,26.75,1.767
80.0,27.0,2.778
80.0,27.25,3.041
80.0,27.5,2.71
80.0,27.75,2.713
80.0,28.0,3.211
80.0,28.25,1.406
80.0,28.5,1.313
80.0,28.75,1.931
80.0,29.0,2.529
80.0,29.25,1.309
80.0,29.5,1.919
80.0,29.75,2.163
80.0,30.0,2.084
80.0,30.25,0.092
80.0,30.5,0.092
80.0,30.75,0.896
80.0,31.0,1.621
80.0,31.25,0.851
80.0,31.5,0.38
80.0,31.75,0.376
80.0,32.0,0.582
80.0,32.25,0.294
80.0,32.5,1.32
80.0,32.75,1.09
80.0,33.0,1.632
80.0,33.25,0.581
80.0,33.5,1.425
80.0,33.75,1.392
80.0,34.0,0.591
80.0,34.25,0.597
80.0,34.5,1.761
80.0,34.75,1.004
80.0,35.0,0.528
80.0,35.25,0.528
80.0,35.5,5.012
80.0,35.75,5.012
80.0,36.0,2.619
80.0,36.25,0.887
80.0,36.5,0.25
80.0,36.75,0.94
80.0,37.0,1.577
80.0,37.25,0.734
80.0,37.5,0.356
80.0,37.75,1.148
80.0,38.0,0.897
80.0,38.25,1.179
80.0,38.5,1.231
80.0,38.75,1.469
80.0,39.0,0.069
80.0,39.25,1.632
80.0,39.5,1.001
80.0,39.75,1.228
80.0,40.0,0.292
80.0,40.25,1.183
80.0,40.5,1.985
80.0,40.75,0.871
80.0,41.0,3.0
80.0,41.25,0.489
80.0,41.5,1.444
80.0,41.75,1.65
80.0,42.0,1.65
80.0,42.25,2.725
80.0,42.5,2.725
80.0,42.75,2.09
80.0,43.0,2.09
80.0,43.25,0.083
80.0,43.5,0.429
80.0,43.75,2.57
80.0,44.0,1.654
80.0,44.25,1.187
80.0,44.5,0.705
80.0,44.75,0.705
80.0,45.0,0.215
80.0,45.25,0.215
80.0,45.5,0.983
80.0,45.75,2.332
80.0,46.0,1.616
80.0,46.25,1.818
80.0,46.5,1.182
80.0,46.75,2.682
80.0,47.0,2.087
80.0,47.25,1.435
80.0,47.5,0.635
80.0,47.75,0.446
80.0,48.0,0.446
80.0,48.25,0.577
80.0,48.5,0.577
80.0,48.75,0.158
80.0,49.0,0.158
80.0,49.25,0.024
80.0,49.5,0.132
80.0,49.75,0.036
80.0,50.0,0.388
80.0,50.25,0.459
80.0,50.5,0.459
80.0,50.75,1.827
80.0,51.0,0.928
80.0,51.25,1.641
80.0,51.5,3.685
80.0,51.75,3.685
80.0,52.0,0.651
80.0,52.25,0.432
80.0,52.5,0.712
80.0,52.75,0.712
80.0,53.0,0.712
80.0,53.25,0.712
80.0,53.5,0.712
80.0,53.75,0.882
80.0,54.0,0.882
80.25,20.0,3.633
80.25,20.25,1.436
80.25,20.5,0.656
80.25,20.75,1.486
80.25,21.0,2.95
80.25,21.25,1.362
80.25,21.5,3.141
80.25,21.75,1.631
80.25,22.0,1.606
80.25,22.25,3.689
80.25,22.5,3.687
80.25,22.75,1.99
80.25,23.0,1.426
80.25,23.25,1.433
80.25,23.5,1.51
80.25,23.75,1.602
80.25,24.0,1.733
80.25,24.25,1.004
80.25,24.5,1.761
80.25,24.75,1.639
80.25,25.0,3.082
80.25,25.25,2.422
80.25,25.5,1.832
80.25,25.75,1.569
80.25,26.0,2.725
80.25,26.25,1.882
80.25,26.5,1.779
80.25,26.75,4.439
80.25,27.0,1.443
80.25,27.25,3.197
80.25,27.5,2.697
80.25,27.75,0.122
80.25,28.0,1.166
80.25,28.25,2.926
80.25,28.5,3.0
80.25,28.75,2.298
80.25,29.0,1.652
80.25,29.25,3.219
80.25,29.5,0.126
80.25,29.75,1.684
80.25,30.0,2.744
80.25,30.25,0.369
80.25,30.5,0.018
80.25,30.75,0.018
80.25,31.0,1.086
80.25,31.25,0.975
80.25,31.5,0.84
80.25,31.75,1.067
80.25,32.0,0.485
80.25,32.25,0.431
80.25,32.5,0.535
80.25,32.75,1.651
80.25,33.0,1.057
80.25,33.25,0.573
80.25,33.5,0.41
80.25,33.75,0.617
80.25,34.0,1.916
80.25,34.25,0.329
80.25,34.5,0.339
80.25,34.75,3.418
80.25,35.0,1.367
80.25,35.25,1.367
80.25,35.5,5.012
80.25,35.75,0.281
80.25,36.0,0.719
80.25,36.25,0.644
80.25,36.5,1.712
80.25,36.75,0.314
80.25,37.0,1.987
80.25,37.25,2.807
80.25,37.5,1.523
80.25,37.75,1.551
80.25,38.0,0.081
80.25,38.25,0.265
80.25,38.5,0.042
80.25,38.75,0.537
80.25,39.0,0.789
80.25,39.25,0.638
80.25,39.5,0.974
80.25,39.75,0.268
80.25,40.0,0.256
80.25,40.25,0.634
80.25,40.5,0.36
80.25,40.75,2.149
80.25,41.0,1.57
80.25,41.25,0.968
80.25,41.5,2.497
80.25,41.75,1.65
80.25,42.0,1.65
80.25,42.25,0.071
80.25,42.5,2.725
80.25,42.75,2.725
80.25,43.0,2.09
80.25,43.25,0.083
80.25,43.5,0.472
80.25,43.75,0.348
80.25,44.0,2.078
80.25,44.25,2.919
80.25,44.5,0.705
80.25,44.75,0.705
80.25,45.0,0.144
80.25,45.25,0.144
