lng,lat,vcd
80.0,20.0,3.214
80.0,20.25,3.541
80.0,20.5,3.016
80.0,20.75,1.966
80.0,21.0,2.541
80.0,21.25,3.684
80.0,21.5,5.428
80.0,21.75,4.827
80.0,22.0,1.212
80.0,22.25,0.736
80.0,22.5,0.661
80.0,22.75,3.324
80.0,23.0,2.534
80.0,23.25,2.421
80.0,23.5,1.87
80.0,23.75,1.588
80.0,24.0,2.094
80.0,24.25,2.11
80.0,24.5,1.121
80.0,24.75,1.546
80.0,25.0,1.622
80.0,25.25,4.743
80.0,25.5,2.315
80.0,25.75,1.086
80.0,26.0,2.408
80.0,26.25,2.399
80.0,26.5,2.519
80.0,26.75,4.049
80.0,27.0,1.821
80.0,27.25,2.984
80.0,27.5,2.163
80.0,27.75,3.607
80.0,28.0,3.461
80.0,28.25,1.924
80.0,28.5,1.126
80.0,28.75,2.478
80.0,29.0,0.871
80.0,29.25,0.076
80.0,29.5,0.911
80.0,29.75,0.797
80.0,30.0,1.131
80.0,30.25,1.131
80.0,30.5,0.535
80.0,30.75,0.436
80.0,31.0,0.488
80.0,31.25,0.306
80.0,31.5,0.893
80.0,31.75,1.197
80.0,32.0,0.293
80.0,32.25,0.302
80.0,32.5,0.099
80.0,32.75,0.041
80.0,33.0,0.347
80.0,33.25,0.942
80.0,33.5,1.054
80.0,33.75,0.68
80.0,34.0,2.383
80.0,34.25,0.45
80.0,34.5,1.911
80.0,34.75,0.73
80.0,35.0,0.119
80.0,35.25,0.119
80.0,35.5,0.463
80.0,35.75,0.463
80.0,36.0,0.53
80.0,36.25,0.092
80.0,36.5,0.881
80.0,36.75,0.482
80.0,37.0,2.629
80.0,37.25,1.468
80.0,37.5,0.184
80.0,37.75,0.905
80.0,38.0,0.913
80.0,38.25,0.632
80.0,38.5,0.716
80.0,38.75,1.014
80.0,39.0,0.576
80.0,39.25,0.699
80.0,39.5,1.705
80.0,39.75,0.964
80.0,40.0,0.79
80.0,40.25,0.299
80.0,40.5,1.527
80.0,40.75,1.93
80.0,41.0,1.094
80.0,41.25,0.741
80.0,41.5,0.741
80.0,41.75,0.741
80.0,42.0,0.741
80.0,42.25,0.741
80.0,42.5,0.741
80.0,42.75,0.741
80.0,43.0,0.741
80.0,43.25,0.822
80.0,43.5,0.822
80.0,43.75,0.822
80.0,44.0,0.822
80.0,44.25,0.822
80.0,44.5,0.822
80.0,44.75,0.822
80.0,45.0,0.822
80.0,45.25,0.822
80.0,45.5,0.822
80.0,45.75,0.822
80.0,46.0,0.822
80.0,46.25,0.822
80.0,46.5,1.488
80.0,46.75,1.488
80.0,47.0,1.488
80.0,47.25,1.488
80.0,47.5,1.488
80.0,47.75,1.488
80.0,48.0,2.228
80.0,48.25,2.141
80.0,48.5,2.141
80.0,48.75,2.141
80.0,49.0,2.141
80.0,49.25,2.141
80.0,49.5,2.141
80.0,49.75,2.141
80.0,50.0,2.141
80.0,50.25,2.141
80.0,50.5,2.141
80.0,50.75,2.141
80.0,51.0,2.141
80.0,51.25,2.141
80.0,51.5,2.141
80.0,51.75,2.141
80.0,52.0,2.141
80.0,52.25,0.356
80.0,52.5,0.059
80.0,52.75,1.547
80.0,53.0,1.547
80.0,53.25,1.547
80.0,53.5,1.547
80.0,53.75,1.547
80.0,54.0,1.547
80.25,20.0,4.315
80.25,20.25,1.035
80.25,20.5,3.203
80.25,20.75,1.884
80.25,21.0,3.208
80.25,21.25,1.819
80.25,21.5,0.753
80.25,21.75,0.906
80.25,22.0,1.762
80.25,22.25,1.828
80.25,22.5,1.961
80.25,22.75,2.121
80.25,23.0,1.845
80.25,23.25,1.25
80.25,23.5,1.362
80.25,23.75,1.499
80.25,24.0,0.32
80.25,24.25,1.661
80.25,24.5,2.925
80.25,24.75,2.835
80.25,25.0,1.609
80.25,25.25,2.018
80.25,25.5,2.283
80.25,25.75,1.873
80.25,26.0,2.411
80.25,26.25,3.359
80.25,26.5,3.71
80.25,26.75,2.422
80.25,27.0,1.316
80.25,27.25,1.892
80.25,27.5,2.74
80.25,27.75,3.175
80.25,28.0,2.659
80.25,28.25,1.144
80.25,28.5,1.127
80.25,28.75,1.202
80.25,29.0,1.942
80.25,29.25,0.796
80.25,29.5,0.399
80.25,29.75,0.898
80.25,30.0,1.131
80.25,30.25,1.131
80.25,30.5,0.535
80.25,30.75,0.359
80.25,31.0,1.022
80.25,31.25,1.187
80.25,31.5,0.525
80.25,31.75,1.008
80.25,32.0,1.483
80.25,32.25,0.603
80.25,32.5,0.801
80.25,32.75,0.777
80.25,33.0,0.663
80.25,33.25,0.771
80.25,33.5,0.23
80.25,33.75,1.871
80.25,34.0,1.025
80.25,34.25,1.673
80.25,34.5,1.127
80.25,34.75,1.1
80.25,35.0,2.296
80.25,35.25,2.296
80.25,35.5,0.463
80.25,35.75,0.463
80.25,36.0,3.261
80.25,36.25,0.577
80.25,36.5,0.565
80.25,36.75,0.953
80.25,37.0,1.192
80.25,37.25,1.028
80.25,37.5,1.505
80.25,37.75,1.563
80.25,38.0,0.996
80.25,38.25,1.411
80.25,38.5,0.265
80.25,38.75,0.782
80.25,39.0,1.467
80.25,39.25,0.975
80.25,39.5,0.307
80.25,39.75,0.545
80.25,40.0,1.14
80.25,40.25,0.608
80.25,40.5,1.142
80.25,40.75,2.127
80.25,41.0,1.386
80.25,41.25,0.741
80.25,41.5,0.741
80.25,41.75,0.741
80.25,42.0,0.741
80.25,42.25,0.741
