lng,lat,vcd
80.0,20.0,3.718
80.0,20.25,3.724
80.0,20.5,3.418
80.0,20.75,3.264
80.0,21.0,2.747
80.0,21.25,3.332
80.0,21.5,4.184
80.0,21.75,3.257
80.0,22.0,2.32
80.0,22.25,1.349
80.0,22.5,1.369
80.0,22.75,0.857
80.0,23.0,3.368
80.0,23.25,3.581
80.0,23.5,2.021
80.0,23.75,3.55
80.0,24.0,0.917
80.0,24.25,1.422
80.0,24.5,1.843
80.0,24.75,1.372
80.0,25.0,2.179
80.0,25.25,3.214
80.0,25.5,1.558
80.0,25.75,3.279
80.0,26.0,4.249
80.0,26.25,1.632
80.0,26.5,5.321
80.0,26.75,0.992
80.0,27.0,3.813
80.0,27.25,2.883
80.0,27.5,3.171
80.0,27.75,2.8
80.0,28.0,1.84
80.0,28.25,1.491
80.0,28.5,2.885
80.0,28.75,2.781
80.0,29.0,1.368
80.0,29.25,2.149
80.0,29.5,0.717
80.0,29.75,0.803
80.0,30.0,1.565
80.0,30.25,0.32
80.0,30.5,0.859
80.0,30.75,1.574
80.0,31.0,0.714
80.0,31.25,2.427
80.0,31.5,0.765
80.0,31.75,0.75
80.0,32.0,0.029
80.0,32.25,2.167
80.0,32.5,1.99
80.0,32.75,0.489
80.0,33.0,1.574
80.0,33.25,1.36
80.0,33.5,2.321
80.0,33.75,1.444
80.0,34.0,0.786
80.0,34.25,0.563
80.0,34.5,0.726
80.0,34.75,1.486
80.0,35.0,1.243
80.0,35.25,1.036
80.0,35.5,0.654
80.0,35.75,0.72
80.0,36.0,1.475
80.0,36.25,1.562
80.0,36.5,1.213
80.0,36.75,0.709
80.0,37.0,2.659
80.0,37.25,1.326
80.0,37.5,1.085
80.0,37.75,1.657
80.0,38.0,1.31
80.0,38.25,0.89
80.0,38.5,1.413
80.0,38.75,0.85
80.0,39.0,1.141
80.0,39.25,0.775
80.0,39.5,0.984
80.0,39.75,0.959
80.0,40.0,1.925
80.0,40.25,1.708
80.0,40.5,1.502
80.0,40.75,1.02
80.0,41.0,1.759
80.0,41.25,2.262
80.0,41.5,4.003
80.0,41.75,0.983
80.0,42.0,0.505
80.0,42.25,0.372
80.0,42.5,1.541
80.0,42.75,1.223
80.0,43.0,1.049
80.0,43.25,0.688
80.0,43.5,1.65
80.0,43.75,1.293
80.0,44.0,2.327
80.0,44.25,1.036
80.0,44.5,1.169
80.0,44.75,0.432
80.0,45.0,1.228
80.0,45.25,0.534
80.0,45.5,1.343
80.0,45.75,1.036
80.0,46.0,1.153
80.0,46.25,2.515
80.0,46.5,1.231
80.0,46.75,1.216
80.0,47.0,0.771
80.0,47.25,2.146
80.0,47.5,3.43
80.0,47.75,1.477
80.0,48.0,1.843
80.0,48.25,1.555
80.0,48.5,1.993
80.0,48.75,3.058
80.0,49.0,1.961
80.0,49.25,3.316
80.0,49.5,2.574
80.0,49.75,1.197
80.0,50.0,2.238
80.0,50.25,2.083
80.0,50.5,2.603
80.0,50.75,2.161
80.0,51.0,0.043
80.0,51.25,2.285
80.0,51.5,2.178
80.0,51.75,3.294
80.0,52.0,0.668
80.0,52.25,1.898
80.0,52.5,1.488
80.0,52.75,1.619
80.0,53.0,1.333
80.0,53.25,1.333
80.0,53.5,2.741
80.0,53.75,2.741
80.0,54.0,2.741
80.25,20.0,3.718
80.25,20.25,2.536
80.25,20.5,3.418
80.25,20.75,3.264
80.25,21.0,4.465
80.25,21.25,4.734
80.25,21.5,4.6
80.25,21.75,2.032
80.25,22.0,1.361
80.25,22.25,0.876
80.25,22.5,3.051
80.25,22.75,2.506
80.25,23.0,1.691
80.25,23.25,3.15
80.25,23.5,0.366
80.25,23.75,2.122
80.25,24.0,2.212
80.25,24.25,0.507
80.25,24.5,1.742
80.25,24.75,0.851
80.25,25.0,0.399
80.25,25.25,1.443
80.25,25.5,3.285
80.25,25.75,1.794
80.25,26.0,2.667
80.25,26.25,5.262
80.25,26.5,3.063
80.25,26.75,6.05
80.25,27.0,5.013
80.25,27.25,2.088
80.25,27.5,1.042
80.25,27.75,3.32
80.25,28.0,3.982
80.25,28.25,0.782
80.25,28.5,2.968
80.25,28.75,2.359
80.25,29.0,1.162
80.25,29.25,0.619
80.25,29.5,1.72
80.25,29.75,0.767
80.25,30.0,1.084
80.25,30.25,0.022
80.25,30.5,1.152
80.25,30.75,0.854
80.25,31.0,0.347
80.25,31.25,0.86
80.25,31.5,3.061
80.25,31.75,0.854
80.25,32.0,1.749
80.25,32.25,2.551
80.25,32.5,0.394
80.25,32.75,0.944
80.25,33.0,1.124
80.25,33.25,1.234
80.25,33.5,1.092
80.25,33.75,0.424
80.25,34.0,0.731
80.25,34.25,1.011
80.25,34.5,1.084
80.25,34.75,0.637
80.25,35.0,1.095
80.25,35.25,1.095
80.25,35.5,0.624
80.25,35.75,0.503
80.25,36.0,0.023
80.25,36.25,1.517
80.25,36.5,1.919
80.25,36.75,3.298
80.25,37.0,0.763
80.25,37.25,0.828
80.25,37.5,1.61
80.25,37.75,1.47
80.25,38.0,1.327
80.25,38.25,1.267
80.25,38.5,1.924
80.25,38.75,1.297
80.25,39.0,1.17
80.25,39.25,1.322
80.25,39.5,0.822
80.25,39.75,0.534
80.25,40.0,1.419
80.25,40.25,1.186
80.25,40.5,1.873
80.25,40.75,1.928
80.25,41.0,3.174
80.25,41.25,1.553
80.25,41.5,1.814
80.25,41.75,1.197
80.25,42.0,0.505
80.25,42.25,0.682
80.25,42.5,1.862
80.25,42.75,2.855
80.25,43.0,1.082
80.25,43.25,1.735
80.25,43.5,0.839
80.25,43.75,1.486
80.25,44.0,1.228
80.25,44.25,1.854
80.25,44.5,0.974
80.25,44.75,2.05
80.25,45.0,4.646
80.25,45.25,0.504
80.25,45.5,1.878
80.25,45.75,0.796
80.25,46.0,1.743
80.25,46.25,1.267
80.25,46.5,2.129
80.25,46.75,1.166
80.25,47.0,0.69
80.25,47.25,2.163
80.25,47.5,1.018
80.25,47.75,1.808
80.25,48.0,2.585
80.25,48.25,3.086
80.25,48.5,1.714
80.25,48.75,0.857
80.25,49.0,0.715
80.25,49.25,1.826
80.25,49.5,1.324
80.25,49.75,1.016
80.25,50.0,1.865
80.25,50.25,2.187
80.25,50.5,0.222
80.25,50.75,2.528
80.25,51.0,0.741
80.25,51.25,1.64
80.25,51.5,1.634
80.25,51.75,2.048
80.25,52.0,2.651
80.25,52.25,1.299
80.25,52.5,3.385
80.25,52.75,3.116
80.25,53.0,2.741
80.25,53.25,2.741
80.25,53.5,2.741
80.25,53.75,2.741
80.25,54.0,2.741
80.5,20.0,6.343
80.5,20.25,2.354
80.5,20.5,0.787
80.5,20.75,2.936
80.5,21.0,1.916
80.5,21.25,2.67
80.5,21.5,2.24
80.5,21.75,2.725
80.5,22.0,4.205
80.5,22.25,1.362
80.5,22.5,1.874
80.5,22.75,1.946
80.5,23.0,2.935
80.5,23.25,2.25
80.5,23.5,2.615
80.5,23.75,1.223
80.5,24.0,1.479
80.5,24.25,3.365
80.5,24.5,1.039
80.5,24.75,5.893
80.5,25.0,2.265
80.5,25.25,3.456
80.5,25.5,2.274
80.5,25.75,1.799
80.5,26.0,2.912
80.5,26.25,2.556
80.5,26.5,2.563
80.5,26.75,2.296
80.5,27.0,5.386
80.5,27.25,2.586
80.5,27.5,4.09
80.5,27.75,3.112
80.5,28.0,2.194
80.5,28.25,0.103
80.5,28.5,1.221
80.5,28.75,2.385
80.5,29.0,1.497
80.5,29.25,2.134
80.5,29.5,1.319
80.5,29.75,1.337
80.5,30.0,0.8
80.5,30.25,0.504
80.5,30.5,0.708
80.5,30.75,0.369
80.5,31.0,1.651
80.5,31.25,2.392
80.5,31.5,2.875
80.5,31.75,0.376
80.5,32.0,0.238
80.5,32.25,0.057
80.5,32.5,0.289
80.5,32.75,0.606
80.5,33.0,0.297
80.5,33.25,0.21
80.5,33.5,0.273
80.5,33.75,1.631
80.5,34.0,0.561
80.5,34.25,0.842
80.5,34.5,0.659
80.5,34.75,1.217
80.5,35.0,0.34
80.5,35.25,1.095
80.5,35.5,0.567
80.5,35.75,1.297
80.5,36.0,0.842
80.5,36.25,0.704
80.5,36.5,1.086
80.5,36.75,1.212
80.5,37.0,0.934
80.5,37.25,0.604
80.5,37.5,2.512
80.5,37.75,1.21
80.5,38.0,0.712
80.5,38.25,0.63
80.5,38.5,0.756
80.5,38.75,1.053
80.5,39.0,0.974
80.5,39.25,0.635
80.5,39.5,1.06
80.5,39.75,1.429
80.5,40.0,0.976
80.5,40.25,0.932
80.5,40.5,2.747
80.5,40.75,1.754
80.5,41.0,1.605
80.5,41.25,1.891
80.5,41.5,1.629
80.5,41.75,1.508
80.5,42.0,0.567
80.5,42.25,1.322
80.5,42.5,0.502
80.5,42.75,1.718
80.5,43.0,1.5
80.5,43.25,0.482
80.5,43.5,1.751
80.5,43.75,1.88
80.5,44.0,1.915
80.5,44.25,3.716
80.5,44.5,1.175
80.5,44.75,0.887
80.5,45.0,1.053
80.5,45.25,0.296
80.5,45.5,0.941
80.5,45.75,1.125
80.5,46.0,2.237
80.5,46.25,0.894
80.5,46.5,2.24
80.5,46.75,1.807
80.5,47.0,0.625
80.5,47.25,3.756
80.5,47.5,0.913
80.5,47.75,1.783
80.5,48.0,1.329
80.5,48.25,0.655
80.5,48.5,1.962
80.5,48.75,1.411
80.5,49.0,1.434
80.5,49.25,1.552
80.5,49.5,2.083
80.5,49.75,1.807
80.5,50.0,0.688
80.5,50.25,1.889
80.5,50.5,3.78
80.5,50.75,1.972
80.5,51.0,1.052
80.5,51.25,4.142
80.5,51.5,1.918
80.5,51.75,0.724
80.5,52.0,0.723
80.5,52.25,2.343
80.5,52.5,1.279
80.5,52.75,0.995
80.5,53.0,3.243
80.5,53.25,1.92
80.5,53.5,1.92
80.5,53.75,1.92
80.5,54.0,1.92
80.75,20.0,1.28
80.75,20.25,2.092
80.75,20.5,2.494
80.75,20.75,3.365
80.75,21.0,5.293
80.75,21.25,2.646
80.75,21.5,3.831
80.75,21.75,3.19
80.75,22.0,1.851
80.75,22.25,1.212
80.75,22.5,1.106
80.75,22.75,1.327
80.75,23.0,3.437
80.75,23.25,2.805
80.75,23.5,1.342
80.75,23.75,1.853
80.75,24.0,2.227
80.75,24.25,2.273
80.75,24.5,5.603
80.75,24.75,2.609
80.75,25.0,0.233
80.75,25.25,2.848
80.75,25.5,1.789
80.75,25.75,1.733
80.75,26.0,7.229
80.75,26.25,4.339
80.75,26.5,2.22
80.75,26.75,4.876
80.75,27.0,2.785
80.75,27.25,3.143
80.75,27.5,3.155
80.75,27.75,1.852
80.75,28.0,2.022
80.75,28.25,4.187
80.75,28.5,3.838
80.75,28.75,1.721
80.75,29.0,1.829
80.75,29.25,2.056
80.75,29.5,1.172
80.75,29.75,1.275
80.75,30.0,0.935
80.75,30.25,0.799
80.75,30.5,1.193
80.75,30.75,1.297
80.75,31.0,0.891
80.75,31.25,0.041
80.75,31.5,0.365
80.75,31.75,0.481
80.75,32.0,0.484
80.75,32.25,0.755
80.75,32.5,0.683
80.75,32.75,0.328
80.75,33.0,0.13
80.75,33.25,1.179
80.75,33.5,0.28
80.75,33.75,0.758
80.75,34.0,0.722
80.75,34.25,1.018
80.75,34.5,0.788
80.75,34.75,0.489
80.75,35.0,1.481
80.75,35.25,0.084
80.75,35.5,0.084
80.75,35.75,1.571
