lng,lat,vcd
80.0,20.0,0.384
80.0,20.25,0.384
80.0,20.5,1.351
80.0,20.75,1.313
80.0,21.0,1.181
80.0,21.25,1.472
80.0,21.5,0.146
80.0,21.75,2.361
80.0,22.0,2.555
80.0,22.25,0.973
80.0,22.5,1.345
80.0,22.75,2.322
80.0,23.0,1.604
80.0,23.25,2.347
80.0,23.5,1.521
80.0,23.75,1.98
80.0,24.0,0.679
80.0,24.25,0.461
80.0,24.5,0.925
80.0,24.75,2.323
80.0,25.0,1.186
80.0,25.25,2.373
80.0,25.5,1.934
80.0,25.75,1.885
80.0,26.0,2.281
80.0,26.25,1.128
80.0,26.5,2.796
80.0,26.75,2.937
80.0,27.0,2.518
80.0,27.25,0.806
80.0,27.5,3.359
80.0,27.75,3.359
80.0,28.0,3.463
80.0,28.25,3.068
80.0,28.5,4.847
80.0,28.75,3.723
80.0,29.0,1.246
80.0,29.25,1.619
80.0,29.5,2.355
80.0,29.75,1.76
80.0,30.0,2.515
80.0,30.25,1.053
80.0,30.5,0.457
80.0,30.75,0.635
80.0,31.0,1.442
80.0,31.25,0.882
80.0,31.5,0.208
80.0,31.75,0.32
80.0,32.0,0.545
80.0,32.25,0.524
80.0,32.5,0.731
80.0,32.75,0.714
80.0,33.0,0.935
80.0,33.25,1.202
80.0,33.5,1.267
80.0,33.75,1.396
80.0,34.0,0.301
80.0,34.25,0.774
80.0,34.5,0.613
80.0,34.75,0.575
80.0,35.0,0.525
80.0,35.25,0.525
80.0,35.5,0.464
80.0,35.75,0.592
80.0,36.0,0.88
80.0,36.25,0.522
80.0,36.5,0.698
80.0,36.75,0.765
80.0,37.0,1.077
80.0,37.25,1.436
80.0,37.5,2.086
80.0,37.75,1.548
80.0,38.0,0.511
80.0,38.25,2.083
80.0,38.5,1.142
80.0,38.75,2.108
80.0,39.0,2.079
80.0,39.25,0.184
80.0,39.5,1.269
80.0,39.75,2.461
80.0,40.0,1.985
80.0,40.25,2.007
80.0,40.5,0.769
80.0,40.75,2.449
80.0,41.0,3.982
80.0,41.25,2.734
80.0,41.5,2.349
80.0,41.75,1.367
80.0,42.0,0.83
80.0,42.25,0.912
80.0,42.5,1.227
80.0,42.75,1.918
80.0,43.0,1.345
80.0,43.25,1.897
80.0,43.5,1.393
80.0,43.75,2.167
80.0,44.0,1.492
80.0,44.25,2.936
80.0,44.5,2.936
80.0,44.75,0.882
80.0,45.0,0.32
80.0,45.25,1.079
80.0,45.5,0.273
80.0,45.75,1.826
80.0,46.0,2.057
80.0,46.25,1.688
80.0,46.5,1.483
80.0,46.75,1.797
80.0,47.0,1.245
80.0,47.25,0.445
80.0,47.5,1.023
80.0,47.75,2.758
80.0,48.0,0.604
80.0,48.25,0.338
80.0,48.5,1.341
