lng,lat,vcd
80.0,20.0,5.179
80.0,20.25,3.539
80.0,20.5,4.183
80.0,20.75,1.326
80.0,21.0,4.333
80.0,21.25,5.955
80.0,21.5,2.972
80.0,21.75,3.138
80.0,22.0,3.41
80.0,22.25,1.999
80.0,22.5,1.913
80.0,22.75,2.573
80.0,23.0,0.867
80.0,23.25,2.674
80.0,23.5,1.538
80.0,23.75,0.891
80.0,24.0,0.73
80.0,24.25,1.345
80.0,24.5,1.236
80.0,24.75,2.489
80.0,25.0,2.058
80.0,25.25,2.639
80.0,25.5,2.221
80.0,25.75,2.37
80.0,26.0,2.598
80.0,26.25,2.069
80.0,26.5,4.393
80.0,26.75,2.719
80.0,27.0,2.194
80.0,27.25,2.257
80.0,27.5,3.493
80.0,27.75,5.028
80.0,28.0,5.385
80.0,28.25,1.218
80.0,28.5,2.937
80.0,28.75,1.71
80.0,29.0,0.445
80.0,29.25,2.543
80.0,29.5,1.44
80.0,29.75,2.065
80.0,30.0,3.025
80.0,30.25,0.763
80.0,30.5,0.278
80.0,30.75,1.153
80.0,31.0,0.9
80.0,31.25,0.466
80.0,31.5,0.626
80.0,31.75,0.277
80.0,32.0,1.084
80.0,32.25,0.208
80.0,32.5,0.052
80.0,32.75,1.249
80.0,33.0,0.524
80.0,33.25,0.641
80.0,33.5,0.934
80.0,33.75,0.975
80.0,34.0,0.531
80.0,34.25,0.694
80.0,34.5,0.23
80.0,34.75,0.889
80.0,35.0,1.33
80.0,35.25,0.847
80.0,35.5,0.286
80.0,35.75,0.286
80.0,36.0,1.22
80.0,36.25,0.648
80.0,36.5,1.171
80.0,36.75,1.477
80.0,37.0,1.24
80.0,37.25,1.749
80.0,37.5,0.894
80.0,37.75,1.096
80.0,38.0,0.321
80.0,38.25,1.819
80.0,38.5,1.106
80.0,38.75,0.736
80.0,39.0,0.92
80.0,39.25,1.098
80.0,39.5,0.582
80.0,39.75,1.638
80.0,40.0,1.262
80.0,40.25,0.283
80.0,40.5,1.762
80.0,40.75,2.859
80.0,41.0,2.295
80.0,41.25,2.004
80.0,41.5,0.639
80.0,41.75,0.639
80.0,42.0,0.639
80.0,42.25,0.639
80.0,42.5,0.365
80.0,42.75,0.365
80.0,43.0,0.365
80.0,43.25,0.286
80.0,43.5,1.338
80.0,43.75,3.552
80.0,44.0,7.3
80.0,44.25,7.3
80.0,44.5,7.792
80.0,44.75,0.01
80.0,45.0,0.01
80.0,45.25,0.01
80.0,45.5,0.01
80.0,45.75,0.469
80.0,46.0,0.558
80.0,46.25,0.335
80.0,46.5,1.332
80.0,46.75,1.332
80.0,47.0,0.773
80.0,47.25,0.773
80.0,47.5,0.773
80.0,47.75,0.773
80.0,48.0,0.773
80.0,48.25,0.724
80.0,48.5,0.724
80.0,48.75,0.724
80.0,49.0,0.724
80.0,49.25,0.724
80.0,49.5,0.724
80.0,49.75,0.785
80.0,50.0,0.785
80.0,50.25,0.898
80.0,50.5,0.898
80.0,50.75,0.898
80.0,51.0,1.14
80.0,51.25,1.14
80.0,51.5,0.564
80.0,51.75,1.017
80.0,52.0,1.017
80.0,52.25,0.972
80.0,52.5,0.972
80.0,52.75,0.898
80.0,53.0,0.898
80.0,53.25,0.898
80.0,53.5,0.898
80.0,53.75,0.898
80.0,54.0,1.703
80.25,20.0,2.038
80.25,20.25,2.804
80.25,20.5,3.002
80.25,20.75,1.83
80.25,21.0,3.276
80.25,21.25,2.249
80.25,21.5,1.367
80.25,21.75,1.154
80.25,22.0,1.293
80.25,22.25,0.316
80.25,22.5,2.052
80.25,22.75,1.64
80.25,23.0,2.14
80.25,23.25,2.091
80.25,23.5,1.702
80.25,23.75,1.602
80.25,24.0,1.979
80.25,24.25,1.911
80.25,24.5,2.5
80.25,24.75,2.612
80.25,25.0,2.333
80.25,25.25,1.85
80.25,25.5,2.102
80.25,25.75,3.155
80.25,26.0,3.818
80.25,26.25,2.653
80.25,26.5,1.579
80.25,26.75,3.227
80.25,27.0,3.841
80.25,27.25,3.379
80.25,27.5,3.252
80.25,27.75,5.806
80.25,28.0,4.988
80.25,28.25,2.63
80.25,28.5,1.954
80.25,28.75,2.278
80.25,29.0,2.961
80.25,29.25,1.004
80.25,29.5,0.436
80.25,29.75,2.316
80.25,30.0,1.522
80.25,30.25,0.416
80.25,30.5,1.156
80.25,30.75,0.193
80.25,31.0,0.644
80.25,31.25,1.239
80.25,31.5,0.793
80.25,31.75,0.315
80.25,32.0,0.802
80.25,32.25,1.884
80.25,32.5,0.457
80.25,32.75,0.997
80.25,33.0,0.062
80.25,33.25,0.966
80.25,33.5,0.363
80.25,33.75,0.196
80.25,34.0,0.83
80.25,34.25,0.985
80.25,34.5,0.741
80.25,34.75,1.14
80.25,35.0,0.547
80.25,35.25,0.547
80.25,35.5,0.778
80.25,35.75,0.778
80.25,36.0,0.97
80.25,36.25,1.193
80.25,36.5,0.432
80.25,36.75,1.972
80.25,37.0,1.462
80.25,37.25,0.836
80.25,37.5,1.757
80.25,37.75,0.917
80.25,38.0,0.898
80.25,38.25,0.196
80.25,38.5,0.793
80.25,38.75,1.048
80.25,39.0,0.529
80.25,39.25,0.184
80.25,39.5,0.132
80.25,39.75,1.234
80.25,40.0,0.419
80.25,40.25,1.133
80.25,40.5,1.962
80.25,40.75,1.18
80.25,41.0,2.153
80.25,41.25,4.787
80.25,41.5,1.866
80.25,41.75,0.639
80.25,42.0,0.639
80.25,42.25,0.639
80.25,42.5,0.365
80.25,42.75,0.365
80.25,43.0,0.365
80.25,43.25,0.365
80.25,43.5,5.069
80.25,43.75,2.768
80.25,44.0,7.3
80.25,44.25,7.792
80.25,44.5,7.792
80.25,44.75,7.792
80.25,45.0,0.01
80.25,45.25,0.01
80.25,45.5,0.641
80.25,45.75,0.665
80.25,46.0,0.41
80.25,46.25,0.638
80.25,46.5,0.959
80.25,46.75,0.773
80.25,47.0,0.773
80.25,47.25,0.773
80.25,47.5,0.773
80.25,47.75,0.773
80.25,48.0,1.674
80.25,48.25,0.724
80.25,48.5,0.724
80.25,48.75,0.724
80.25,49.0,0.724
80.25,49.25,0.724
80.25,49.5,0.724
80.25,49.75,0.785
80.25,50.0,0.662
80.25,50.25,0.61
80.25,50.5,0.898
80.25,50.75,0.898
80.25,51.0,1.14
80.25,51.25,1.14
80.25,51.5,0.752
80.25,51.75,4.154
80.25,52.0,4.154
80.25,52.25,0.972
80.25,52.5,0.972
80.25,52.75,0.972
80.25,53.0,1.703
80.25,53.25,1.703
80.25,53.5,1.703
80.25,53.75,1.703
80.25,54.0,1.703
80.5,20.0,3.098
80.5,20.25,1.413
80.5,20.5,3.168
80.5,20.75,4.797
80.5,21.0,4.07
80.5,21.25,2.166
80.5,21.5,1.245
80.5,21.75,0.711
80.5,22.0,2.474
80.5,22.25,0.005
80.5,22.5,1.804
80.5,22.75,1.672
80.5,23.0,0.223
80.5,23.25,0.942
80.5,23.5,2.408
80.5,23.75,2.007
80.5,24.0,1.367
80.5,24.25,2.779
80.5,24.5,2.101
80.5,24.75,2.136
80.5,25.0,0.714
80.5,25.25,1.769
80.5,25.5,2.117
80.5,25.75,2.711
80.5,26.0,1.952
80.5,26.25,4.139
80.5,26.5,4.18
80.5,26.75,2.604
80.5,27.0,4.014
80.5,27.25,3.68
80.5,27.5,1.354
80.5,27.75,6.125
80.5,28.0,2.714
80.5,28.25,1.981
80.5,28.5,2.437
80.5,28.75,3.537
80.5,29.0,1.316
80.5,29.25,0.498
80.5,29.5,1.66
80.5,29.75,0.622
80.5,30.0,1.099
80.5,30.25,0.51
80.5,30.5,0.666
80.5,30.75,0.802
80.5,31.0,0.351
80.5,31.25,0.812
80.5,31.5,1.623
80.5,31.75,0.828
80.5,32.0,0.354
80.5,32.25,0.936
80.5,32.5,0.948
80.5,32.75,0.51
80.5,33.0,1.133
80.5,33.25,0.921
80.5,33.5,0.491
80.5,33.75,0.335
80.5,34.0,0.439
80.5,34.25,0.634
80.5,34.5,1.072
80.5,34.75,0.151
80.5,35.0,0.519
80.5,35.25,0.417
80.5,35.5,0.417
80.5,35.75,0.097
80.5,36.0,0.073
80.5,36.25,0.396
80.5,36.5,0.866
80.5,36.75,0.893
80.5,37.0,1.592
80.5,37.25,1.271
80.5,37.5,0.96
80.5,37.75,1.137
80.5,38.0,0.975
80.5,38.25,0.765
80.5,38.5,1.35
80.5,38.75,1.306
80.5,39.0,0.857
80.5,39.25,0.224
80.5,39.5,0.56
80.5,39.75,0.37
80.5,40.0,1.593
80.5,40.25,0.69
80.5,40.5,1.06
80.5,40.75,2.008
80.5,41.0,2.317
80.5,41.25,4.698
80.5,41.5,2.078
80.5,41.75,1.205
80.5,42.0,1.205
80.5,42.25,0.639
80.5,42.5,0.365
80.5,42.75,0.365
80.5,43.0,0.365
80.5,43.25,1.093
80.5,43.5,5.069
80.5,43.75,5.995
80.5,44.0,4.834
80.5,44.25,7.792
80.5,44.5,7.792
80.5,44.75,7.792
80.5,45.0,0.01
80.5,45.25,0.613
80.5,45.5,0.613
80.5,45.75,0.613
80.5,46.0,0.566
80.5,46.25,0.299
80.5,46.5,0.824
80.5,46.75,0.773
80.5,47.0,0.773
80.5,47.25,0.902
80.5,47.5,1.674
