lng,lat,VCD,AOD,AMF
80.0,20.0,0.879,0.697,1.329
80.0,20.25,2.251,0.803,1.354
80.0,20.5,2.476,0.648,1.328
80.0,20.75,3.604,0.223,1.277
80.0,21.0,4.531,0.087,1.399
80.0,21.25,4.559,0.058,1.382
80.0,21.5,2.522,0.509,0.732
80.0,21.75,1.966,0.374,1.293
80.0,22.0,0.151,0.398,0.734
80.0,22.25,0.322,0.319,0.978
80.0,22.5,1.983,0.786,1.531
80.0,22.75,1.295,0.179,1.664
80.0,23.0,1.459,0.285,1.407
80.0,23.25,2.818,0.768,0.481
80.0,23.5,0.335,0.332,0.87
80.0,23.75,1.602,0.313,1.031
80.0,24.0,1.837,0.224,1.222
80.0,24.25,3.121,0.279,1.222
80.0,24.5,2.12,0.053,1.43
80.0,24.75,1.041,0.413,1.13
80.0,25.0,2.32,0.196,1.424
80.0,25.25,2.624,0.258,1.407
80.0,25.5,0.58,0.282,1.243
80.0,25.75,1.807,0.335,1.491
80.0,26.0,2.288,0.389,1.473
80.0,26.25,1.533,0.407,0.873
80.0,26.5,0.683,0.336,0.385
80.0,26.75,1.767,0.414,1.316
80.0,27.0,2.778,0.412,1.284
80.0,27.25,3.041,0.541,1.257
80.0,27.5,2.71,0.498,1.265
80.0,27.75,2.713,0.424,1.24
80.0,28.0,3.211,0.673,0.655
80.0,28.25,1.406,0.638,0.427
80.0,28.5,1.313,0.727,1.303
80.0,28.75,1.931,0.37,1.169
80.0,29.0,2.529,0.134,1.28
80.0,29.25,1.309,0.145,1.336
80.0,29.5,1.919,0.201,1.232
80.0,29.75,2.163,0.168,1.193
80.0,30.0,2.084,0.129,1.312
80.0,30.25,0.092,0.103,2.358
80.0,30.5,0.092,0.103,2.358
80.0,30.75,0.896,0.103,2.356
80.0,31.0,1.621,0.157,1.241
80.0,31.25,0.851,0.075,2.057
80.0,31.5,0.38,0.509,2.471
80.0,31.75,0.376,0.06,1.95
80.0,32.0,0.582,0.096,2.112
80.0,32.25,0.294,0.081,2.004
80.0,32.5,1.32,0.081,1.629
80.0,32.75,1.09,0.874,1.804
80.0,33.0,1.632,0.093,0.815
80.0,33.25,0.581,0.097,1.788
80.0,33.5,1.425,0.152,1.787
80.0,33.75,1.392,0.083,1.703
80.0,34.0,0.591,0.131,1.632
80.0,34.25,0.597,0.158,2.521
80.0,34.5,1.761,0.059,0.823
80.0,34.75,1.004,0.145,1.302
80.0,35.0,0.528,0.359,2.6
80.0,35.25,0.528,0.359,2.6
80.0,35.5,5.012,0.072,0.47
80.0,35.75,5.012,0.072,0.47
80.0,36.0,2.619,0.074,0.566
80.0,36.25,0.887,0.043,2.227
80.0,36.5,0.25,0.054,1.277
80.0,36.75,0.94,0.355,0.354
80.0,37.0,1.577,0.71,2.113
80.0,37.25,0.734,1.106,0.544
80.0,37.5,0.356,0.183,2.582
80.0,37.75,1.148,1.716,0.919
80.0,38.0,0.897,1.924,1.077
80.0,38.25,1.179,0.115,1.862
80.0,38.5,1.231,0.246,0.997
80.0,38.75,1.469,0.163,0.758
80.0,39.0,0.069,1.038,1.923
80.0,39.25,1.632,0.295,1.603
80.0,39.5,1.001,1.09,0.736
80.0,39.75,1.228,0.209,1.711
80.0,40.0,0.292,1.0,1.873
80.0,40.25,1.183,0.284,1.523
80.0,40.5,1.985,0.302,1.577
80.0,40.75,0.871,0.191,1.414
80.0,41.0,3.0,0.43,0.761
80.0,41.25,0.489,1.067,0.346
80.0,41.5,1.444,0.262,1.443
80.0,41.75,1.65,0.365,1.539
80.0,42.0,1.65,0.365,1.539
80.0,42.25,2.725,0.195,0.728
80.0,42.5,2.725,0.195,0.728
80.0,42.75,2.09,0.102,1.182
80.0,43.0,2.09,0.102,1.182
80.0,43.25,0.083,0.135,2.123
80.0,43.5,0.429,0.128,0.869
80.0,43.75,2.57,0.13,1.059
80.0,44.0,1.654,0.092,1.283
80.0,44.25,1.187,0.041,1.853
80.0,44.5,0.705,0.129,2.147
80.0,44.75,0.705,0.129,2.147
80.0,45.0,0.215,0.248,2.586
80.0,45.25,0.215,0.248,2.586
80.0,45.5,0.983,0.109,0.973
80.0,45.75,2.332,0.127,0.423
80.0,46.0,1.616,0.122,0.561
80.0,46.25,1.818,0.14,0.879
80.0,46.5,1.182,0.234,1.252
80.0,46.75,2.682,0.103,0.514
80.0,47.0,2.087,0.182,0.913
80.0,47.25,1.435,0.082,1.127
80.0,47.5,0.635,0.143,2.474
80.0,47.75,0.446,0.145,2.441
80.0,48.0,0.446,0.145,2.441
80.0,48.25,0.577,0.105,2.875
80.0,48.5,0.577,0.105,2.875
80.0,48.75,0.158,0.021,1.644
80.0,49.0,0.158,0.021,1.644
80.0,49.25,0.024,0.021,1.596
80.0,49.5,0.132,0.023,1.812
80.0,49.75,0.036,0.233,2.35
80.0,50.0,0.388,0.19,2.315
80.0,50.25,0.459,0.048,1.094
80.0,50.5,0.459,0.048,1.094
80.0,50.75,1.827,0.264,0.684
80.0,51.0,0.928,0.236,2.02
80.0,51.25,1.641,0.085,0.627
80.0,51.5,3.685,0.188,0.264
80.0,51.75,3.685,0.188,0.264
80.0,52.0,0.651,0.181,2.241
80.0,52.25,0.432,0.163,3.24
80.0,52.5,0.712,0.162,2.728
80.0,52.75,0.712,0.162,2.728
80.0,53.0,0.712,0.162,2.728
80.0,53.25,0.712,0.162,2.728
80.0,53.5,0.712,0.162,2.728
80.0,53.75,0.882,0.153,1.78
80.0,54.0,0.882,0.153,1.78
80.25,20.0,3.633,0.301,1.197
80.25,20.25,1.436,0.462,1.518
80.25,20.5,0.656,0.515,1.407
80.25,20.75,1.486,0.547,1.335
80.25,21.0,2.95,0.448,1.286
80.25,21.25,1.362,0.499,1.669
80.25,21.5,3.141,0.439,1.238
80.25,21.75,1.631,0.57,1.682
80.25,22.0,1.606,0.257,1.573
80.25,22.25,3.689,0.099,1.331
80.25,22.5,3.687,0.369,0.57
80.25,22.75,1.99,0.135,1.408
80.25,23.0,1.426,0.128,1.392
80.25,23.25,1.433,0.293,1.213
80.25,23.5,1.51,0.357,1.219
80.25,23.75,1.602,0.525,1.239
80.25,24.0,1.733,0.426,0.943
80.25,24.25,1.004,0.217,1.455
80.25,24.5,1.761,0.291,1.526
80.25,24.75,1.639,0.144,1.286
80.25,25.0,3.082,0.198,1.252
80.25,25.25,2.422,0.331,1.465
80.25,25.5,1.832,0.147,1.44
80.25,25.75,1.569,0.351,1.243
80.25,26.0,2.725,0.494,1.252
80.25,26.25,1.882,0.081,1.348
80.25,26.5,1.779,0.474,1.372
80.25,26.75,4.439,0.427,1.229
80.25,27.0,1.443,0.328,1.305
80.25,27.25,3.197,0.324,1.219
80.25,27.5,2.697,0.119,1.274
80.25,27.75,0.122,0.638,0.672
80.25,28.0,1.166,0.391,1.165
80.25,28.25,2.926,0.228,0.807
80.25,28.5,3.0,0.127,1.22
80.25,28.75,2.298,0.474,1.177
80.25,29.0,1.652,0.217,1.222
80.25,29.25,3.219,0.439,1.148
80.25,29.5,0.126,0.19,1.512
80.25,29.75,1.684,0.085,0.582
80.25,30.0,2.744,0.216,1.197
80.25,30.25,0.369,0.171,1.716
80.25,30.5,0.018,0.032,2.692
80.25,30.75,0.018,0.032,2.692
80.25,31.0,1.086,0.058,2.063
80.25,31.25,0.975,0.057,2.408
80.25,31.5,0.84,0.358,1.545
80.25,31.75,1.067,0.104,2.126
80.25,32.0,0.485,0.055,1.643
80.25,32.25,0.431,0.026,1.957
80.25,32.5,0.535,0.397,1.772
80.25,32.75,1.651,0.085,1.271
80.25,33.0,1.057,0.097,1.064
80.25,33.25,0.573,0.107,1.087
80.25,33.5,0.41,0.213,1.495
80.25,33.75,0.617,0.132,2.549
80.25,34.0,1.916,0.259,1.234
80.25,34.25,0.329,0.092,1.232
80.25,34.5,0.339,0.065,1.606
80.25,34.75,3.418,0.211,0.278
80.25,35.0,1.367,0.392,0.809
80.25,35.25,1.367,0.392,0.809
80.25,35.5,5.012,0.072,0.47
80.25,35.75,0.281,0.078,1.511
80.25,36.0,0.719,0.197,1.998
80.25,36.25,0.644,0.051,1.932
80.25,36.5,1.712,0.078,1.027
80.25,36.75,0.314,0.121,2.072
80.25,37.0,1.987,0.32,1.495
80.25,37.25,2.807,1.324,0.86
80.25,37.5,1.523,0.109,1.692
80.25,37.75,1.551,0.11,1.703
80.25,38.0,0.081,0.396,1.174
80.25,38.25,0.265,1.14,2.299
80.25,38.5,0.042,1.221,1.523
80.25,38.75,0.537,1.257,1.9
80.25,39.0,0.789,0.237,1.718
80.25,39.25,0.638,0.185,1.104
80.25,39.5,0.974,0.225,2.279
80.25,39.75,0.268,1.405,1.964
80.25,40.0,0.256,0.318,0.859
80.25,40.25,0.634,0.263,1.684
80.25,40.5,0.36,0.343,0.678
80.25,40.75,2.149,0.335,1.17
80.25,41.0,1.57,0.5,1.51
80.25,41.25,0.968,0.196,1.027
80.25,41.5,2.497,0.196,1.317
80.25,41.75,1.65,0.365,1.539
80.25,42.0,1.65,0.365,1.539
80.25,42.25,0.071,0.207,1.23
80.25,42.5,2.725,0.195,0.728
80.25,42.75,2.725,0.195,0.728
80.25,43.0,2.09,0.102,1.182
80.25,43.25,0.083,0.135,2.123
80.25,43.5,0.472,0.173,1.075
80.25,43.75,0.348,0.308,1.356
80.25,44.0,2.078,0.138,1.231
80.25,44.25,2.919,0.183,1.088
80.25,44.5,0.705,0.129,2.147
80.25,44.75,0.705,0.129,2.147
80.25,45.0,0.144,0.122,1.786
80.25,45.25,0.144,0.122,1.786
80.25,45.5,2.979,0.187,0.436
80.25,45.75,0.469,0.068,1.428
80.25,46.0,1.023,0.183,1.272
80.25,46.25,1.441,0.391,1.275
80.25,46.5,2.013,0.128,1.128
80.25,46.75,0.816,0.158,0.917
80.25,47.0,0.732,0.365,1.06
80.25,47.25,1.212,0.175,1.398
80.25,47.5,0.78,0.143,2.472
80.25,47.75,0.808,0.177,2.459
80.25,48.0,0.446,0.145,2.441
80.25,48.25,0.577,0.105,2.875
80.25,48.5,0.21,0.027,1.414
80.25,48.75,0.327,0.021,1.473
80.25,49.0,0.367,0.029,1.744
80.25,49.25,0.406,0.11,1.005
80.25,49.5,0.049,0.156,2.363
80.25,49.75,0.116,0.045,2.977
80.25,50.0,0.484,0.045,1.522
80.25,50.25,0.788,0.052,0.991
80.25,50.5,1.029,0.043,0.873
80.25,50.75,0.384,0.276,1.952
80.25,51.0,2.174,0.283,0.362
80.25,51.25,3.685,0.188,0.264
80.25,51.5,3.685,0.188,0.264
80.25,51.75,5.443,0.189,0.282
80.25,52.0,0.497,0.181,3.217
80.25,52.25,0.464,0.181,3.223
80.25,52.5,0.432,0.163,3.24
80.25,52.75,0.712,0.162,2.728
80.25,53.0,0.712,0.162,2.728
80.25,53.25,0.882,0.153,1.78
80.25,53.5,0.882,0.153,1.78
80.25,53.75,0.882,0.153,1.78
80.25,54.0,0.882,0.153,1.78
80.5,20.0,7.193,0.12,1.299
80.5,20.25,3.445,0.302,1.224
80.5,20.5,1.748,0.42,1.65
80.5,20.75,2.674,0.556,1.661
80.5,21.0,2.596,0.471,1.654
80.5,21.25,2.833,0.41,1.28
80.5,21.5,2.525,0.484,1.097
80.5,21.75,2.876,0.357,1.241
80.5,22.0,2.092,0.317,0.903
80.5,22.25,3.173,0.114,1.259
80.5,22.5,0.895,0.23,1.053
80.5,22.75,2.765,0.105,1.305
80.5,23.0,2.365,0.031,1.39
80.5,23.25,1.01,0.354,1.682
80.5,23.5,1.544,0.174,1.387
80.5,23.75,2.739,0.167,1.373
80.5,24.0,1.22,0.13,1.328
80.5,24.25,2.443,0.157,1.327
80.5,24.5,2.925,0.284,1.435
80.5,24.75,1.148,0.296,1.233
80.5,25.0,2.472,0.388,0.611
80.5,25.25,2.293,0.249,1.341
80.5,25.5,1.637,0.07,1.402
80.5,25.75,3.153,0.547,1.335
80.5,26.0,3.667,0.644,1.15
80.5,26.25,3.157,0.525,1.235
80.5,26.5,1.434,0.777,1.102
80.5,26.75,1.576,0.645,1.16
80.5,27.0,1.755,0.557,1.148
80.5,27.25,1.645,0.324,1.215
80.5,27.5,2.667,0.161,1.376
80.5,27.75,2.813,0.082,1.234
80.5,28.0,2.148,0.37,1.265
80.5,28.25,3.805,0.094,1.308
80.5,28.5,2.486,0.764,1.398
80.5,28.75,1.323,0.622,1.385
80.5,29.0,2.484,0.495,1.76
80.5,29.25,0.53,0.258,0.84
80.5,29.5,2.763,0.129,1.367
80.5,29.75,0.493,0.107,2.641
80.5,30.0,0.399,0.148,2.591
80.5,30.25,0.469,0.049,2.393
80.5,30.5,0.279,0.044,2.438
80.5,30.75,0.214,0.044,2.159
80.5,31.0,1.117,0.036,1.705
80.5,31.25,0.937,0.079,1.581
80.5,31.5,0.569,0.035,2.612
80.5,31.75,0.475,0.37,2.718
80.5,32.0,0.433,0.145,1.447
80.5,32.25,2.38,0.091,0.653
80.5,32.5,2.436,0.151,1.05
80.5,32.75,0.728,0.132,2.355
80.5,33.0,1.889,0.372,1.516
80.5,33.25,0.338,0.138,2.844
80.5,33.5,1.67,0.059,1.007
80.5,33.75,0.149,0.024,2.061
80.5,34.0,0.615,0.037,2.046
80.5,34.25,0.608,0.13,1.766
80.5,34.5,1.184,0.102,1.212
80.5,34.75,0.742,0.078,1.004
80.5,35.0,0.517,0.096,1.098
80.5,35.25,0.517,0.096,1.098
80.5,35.5,0.233,0.027,1.559
80.5,35.75,1.038,0.077,1.042
80.5,36.0,0.685,0.039,1.702
80.5,36.25,1.779,0.266,1.336
80.5,36.5,1.129,0.676,1.341
80.5,36.75,1.221,0.174,1.598
80.5,37.0,1.628,1.192,1.631
80.5,37.25,0.932,0.13,1.737
80.5,37.5,1.682,0.111,2.152
80.5,37.75,0.812,0.167,0.76
80.5,38.0,1.042,1.405,1.795
80.5,38.25,0.619,1.27,1.877
80.5,38.5,1.168,0.115,1.888
80.5,38.75,0.534,0.983,0.889
80.5,39.0,1.669,0.432,1.51
80.5,39.25,0.404,1.374,2.078
80.5,39.5,0.121,2.346,2.104
80.5,39.75,0.224,0.58,1.928
80.5,40.0,0.538,0.227,1.556
80.5,40.25,0.968,0.762,2.071
80.5,40.5,0.805,0.638,1.961
80.5,40.75,0.581,0.183,1.053
80.5,41.0,1.741,0.164,1.476
80.5,41.25,6.038,0.435,0.114
80.5,41.5,1.075,0.261,1.53
80.5,41.75,1.531,0.257,1.439
80.5,42.0,1.531,0.257,1.439
80.5,42.25,0.071,0.207,1.23
80.5,42.5,0.071,0.207,1.23
80.5,42.75,0.89,0.353,0.5
80.5,43.0,3.379,0.37,0.377
80.5,43.25,0.207,0.176,1.859
80.5,43.5,0.813,0.172,1.383
80.5,43.75,2.311,0.211,0.971
80.5,44.0,1.73,0.19,1.791
80.5,44.25,1.382,0.358,1.406
80.5,44.5,2.656,0.084,1.132
80.5,44.75,3.566,0.076,0.864
80.5,45.0,0.345,0.261,2.73
80.5,45.25,0.345,0.261,2.73
80.5,45.5,1.084,0.255,2.304
80.5,45.75,0.366,0.246,1.927
80.5,46.0,1.455,0.106,1.431
80.5,46.25,0.921,0.166,1.499
80.5,46.5,1.11,0.606,1.229
80.5,46.75,6.409,0.267,0.283
80.5,47.0,1.49,0.185,1.202
80.5,47.25,1.424,0.181,0.967
80.5,47.5,1.37,0.143,1.524
80.5,47.75,0.635,0.143,2.474
80.5,48.0,0.446,0.145,2.441
80.5,48.25,0.142,0.097,1.665
80.5,48.5,0.142,0.097,1.665
80.5,48.75,0.282,0.032,1.644
80.5,49.0,0.247,0.139,1.442
80.5,49.25,0.525,0.163,0.682
80.5,49.5,0.133,0.035,1.72
80.5,49.75,0.426,0.045,2.974
80.5,50.0,0.589,0.28,0.54
80.5,50.25,1.43,0.232,0.657
80.5,50.5,0.781,0.218,0.246
80.5,50.75,1.989,0.259,0.324
80.5,51.0,0.948,0.275,0.806
80.5,51.25,0.948,0.275,0.806
80.5,51.5,4.69,0.22,0.389
80.5,51.75,5.208,0.189,0.294
80.5,52.0,5.443,0.189,0.282
80.5,52.25,0.497,0.181,3.217
80.5,52.5,0.464,0.181,3.223
80.5,52.75,0.432,0.163,3.24
80.5,53.0,0.882,0.153,1.78
80.5,53.25,0.882,0.153,1.78
80.5,53.5,0.882,0.153,1.78
80.5,53.75,0.882,0.153,1.78
80.5,54.0,0.882,0.153,1.78
80.75,20.0,1.596,0.337,1.567
