lng,lat,VCD,AOD,AMF
80.0,20.0,0.384,0.411,0.882
80.0,20.25,0.384,0.411,0.882
80.0,20.5,1.351,0.115,1.736
80.0,20.75,1.313,0.113,1.745
80.0,21.0,1.181,0.115,1.834
80.0,21.25,1.472,0.123,1.508
80.0,21.5,0.146,0.131,1.113
80.0,21.75,2.361,0.267,1.272
80.0,22.0,2.555,0.154,1.096
80.0,22.25,0.973,0.14,0.791
80.0,22.5,1.345,0.267,1.489
80.0,22.75,2.322,0.289,1.391
80.0,23.0,1.604,0.274,1.723
80.0,23.25,2.347,0.294,1.738
80.0,23.5,1.521,0.43,1.255
80.0,23.75,1.98,0.398,1.344
80.0,24.0,0.679,0.33,1.544
80.0,24.25,0.461,0.302,1.661
80.0,24.5,0.925,0.329,1.682
80.0,24.75,2.323,0.433,1.285
80.0,25.0,1.186,0.344,1.282
80.0,25.25,2.373,0.351,1.388
80.0,25.5,1.934,0.42,1.314
80.0,25.75,1.885,0.377,1.322
80.0,26.0,2.281,0.459,1.44
80.0,26.25,1.128,0.48,1.32
80.0,26.5,2.796,0.273,1.397
80.0,26.75,2.937,0.999,1.433
80.0,27.0,2.518,0.848,1.444
80.0,27.25,0.806,0.554,0.62
80.0,27.5,3.359,0.49,1.273
80.0,27.75,3.359,0.49,1.273
80.0,28.0,3.463,1.335,1.324
80.0,28.25,3.068,1.181,1.487
80.0,28.5,4.847,0.292,1.223
80.0,28.75,3.723,0.46,1.243
80.0,29.0,1.246,0.786,1.186
80.0,29.25,1.619,0.91,1.541
80.0,29.5,2.355,0.511,1.226
80.0,29.75,1.76,0.925,1.598
80.0,30.0,2.515,0.33,1.399
80.0,30.25,1.053,0.155,2.29
80.0,30.5,0.457,0.194,2.942
80.0,30.75,0.635,0.165,1.801
80.0,31.0,1.442,0.162,2.608
80.0,31.25,0.882,0.359,1.815
80.0,31.5,0.208,0.18,1.471
80.0,31.75,0.32,0.542,2.16
80.0,32.0,0.545,0.582,2.145
80.0,32.25,0.524,0.257,1.932
80.0,32.5,0.731,0.172,1.851
80.0,32.75,0.714,0.555,2.237
80.0,33.0,0.935,0.183,2.158
80.0,33.25,1.202,0.142,2.261
80.0,33.5,1.267,0.254,1.626
80.0,33.75,1.396,0.159,0.817
80.0,34.0,0.301,0.192,1.04
80.0,34.25,0.774,0.1,2.75
